,Pearson,Spearman
AvgCurrent_10s,0.49413242725883444,0.5298290203854443
AvgCurrent_20s,0.5069527716653961,0.5328061182110021
AvgCurrent_50s,0.5093656747902849,0.5331764825834312
AvgCurrent_5s,0.4920417716812792,0.5048523057314396
Current(A),-0.4846977233496098,-0.5062856393756562
PulseLength(s),0.06906627815287887,-0.20241196086230018
SOC,0.6742396567233923,0.7250105390537084
SOP(W),1.0,1.0
Temperature(C),0.6328638553367423,0.5950265203045455
Voltage(V),0.6802910992489289,0.7215601093677061
