y_actual,y_predicted
1.6395773511923684,1.5907062
-0.3292610205687052,-0.19120291
0.1256961293385963,0.37621197
-1.095751321088381,-1.0603613
1.7381169719539817,1.640074
1.5753730657102971,1.5740969
1.436635979255561,1.4059827
1.3937028527027675,1.3391001
1.3292473330601147,1.1244721
-0.06267366128445372,-0.05082611
-0.32847940318022767,-0.2681415
-0.5166537894561585,-0.53058714
-0.46875180950518724,-0.5582164
-0.572651092359217,-0.5839589
-0.6326123120181251,-0.6816507
-0.6159750276062492,-0.6658983
-0.7040186434368806,-0.7567568
-0.6893633174029296,-0.6716133
-0.7766253158450834,-0.7567568
-0.8803291943519937,-0.82353276
-0.8871404315944396,-0.82353276
-0.9994421013746012,-0.94883955
-1.1019344729293716,-1.0410246
-1.1064455218571554,-1.0738424
-1.2914236513123483,-1.2335538
-0.21581483961255887,-0.29859796
-1.263531076506398,-1.230682
-0.5122711490993389,-0.45184913
-0.450327971062506,-0.45184913
-0.47517223805339437,-0.45184913
-0.39541934952196967,-0.4721383
-0.44851350212496927,-0.4721383
-0.5282105608429313,-0.54746217
-0.5626854706561303,-0.6320037
-0.681742547865275,-0.6964389
1.8338651020424614,1.6460186
1.7559825122620363,1.6242399
1.7523535743869625,1.6568688
1.6563262952311693,1.6021013
1.6281322394325206,1.5912259
1.5977049910953656,1.507766
1.47069216546779,1.4089899
0.9762075076289178,0.25105652
-0.3022393908527726,-0.547604
-0.9156136364604015,-1.0320369
0.7390424600394939,0.99780625
0.9049686656505506,0.62157094
0.75297199849843,0.49245372
0.5267775092544209,0.2885284
-0.6276992884334099,-0.7566258
-1.1670543673522304,-1.1352292
-0.6034412344838797,-0.4599853
-0.942216542575364,-0.7939273
-1.1739968046563136,-1.0041445
-1.1997315571719316,-1.0891274
1.4078277955088232,1.3416945
1.4191612476417454,1.2610344
1.2617211736770146,1.1363952
0.8288726299009307,0.7362677
-1.0333866279599049,-1.0923492
-0.5813884581661248,-0.48027444
-0.6486633833886428,-0.5496821
-1.126736867560163,-0.9802462
0.960296010792057,1.0008167
0.03340944768480213,0.01070333
-1.1041062526730696,-1.1386155
-1.0897021607997006,-1.1386155
-1.3548516232382208,-1.5732073
1.3949031936922152,1.1883138
-0.5508495502020441,-0.48835656
-0.8055172443120154,-0.8230036
-1.059291661406584,-1.2283307
1.0021125410755973,1.0300146
0.5209153788408406,0.4060891
-1.3615542714934818,1.3416945
1.4930240908528585,1.3525447
1.155756187724866,1.2270427
-0.4293917910140046,-0.44059134
-1.0967367172959972,-1.1612139
-1.343053387908222,-1.5732073
1.6948488665204118,1.6179501
1.66553821445251,1.6067407
1.6284113884998341,1.5690533
1.7333714378096547,1.6070999
1.5817934942585044,1.551973
1.3455775534979455,1.0632232
1.7476080402426355,1.6801004
1.6041254196435724,1.531313
1.5605781651426898,1.5252404
1.3456612982181395,0.45570156
0.990779088942675,0.21874115
1.4871619604392778,1.3759974
1.3439026590940657,1.1657975
0.679444134168093,0.6558558
-0.9186005314806543,-0.7445119
-0.7948537499406454,-0.7445119
0.1539181000439763,-0.1633287
-0.43173664317943683,-0.4502504
-0.335402300049599,-0.29032865
-0.6298487362517229,-0.5734556
-0.572651092359217,-0.5839589
-0.6326123120181251,-0.6816507
-1.0076211690468824,-0.9914789
-1.3194390517079164,-1.1995488
-1.1103368598555035,-1.2419862
1.4980487740644985,1.5307366
1.47236705987167,1.4943076
0.9988744118947623,1.1932747
-1.2964511260146618,-1.1077905
0.11905238153653853,-0.34156558
0.008286031626600463,-0.06286979
-0.7339155085461405,-0.600278
-1.10759003303314,-1.0614852
0.2458977177237259,0.3367593
0.06258052521904749,0.01710601
-1.2111152561369698,-1.2320553
1.7021067422705591,1.6342287
1.5136811218340465,1.4793687
1.4310529979092943,1.3073348
1.135015412023484,0.5853248
0.6241447039333181,0.31398147
0.01007258565740592,-0.24647205
-0.6068468531051026,-0.63164574
0.6898005645654187,1.0555915
1.3210124355743706,1.0555915
1.1105061239133718,1.0552324
1.0269568080664853,0.6403766
0.8312453969730941,0.5808168
-0.28512755302646414,-0.39787194
-0.7761228475239194,-0.8692805
-1.135786880322462,-1.215058
0.15852405965464658,0.105325304
0.08879262263977127,0.12730911
0.17105785277701605,-0.16595161
-0.04963739984092021,-0.05838196
-0.1425661243495352,-0.2618329
-0.3254087634397808,-0.3888363
-0.8111560554717452,-0.76131904
-0.9155298917402075,-0.8686738
-0.8645851869555207,-0.76131904
-1.1782789513489003,-1.1802031
1.2356486507899478,0.9239726
0.11293901696237608,0.11582812
-0.5812767985391996,-0.5733533
-0.5511845290828201,-0.5008642
-0.6978215341425241,-0.66076124
-1.1041062526730696,-1.1386155
-1.0897021607997006,-1.1386155
-1.3034717250575925,-1.2231004
0.0463864108618878,0.11783382
1.1869786565011031,1.2649405
1.144333647059175,1.2335874
0.6084770456578417,0.35469952
0.4526610042624374,-0.3532376
0.6308289126756801,0.37373793
-1.3924562077087723,-1.1087823
-1.6791189022125483,-1.6451598
0.6180354098431015,0.7121228
-1.284196704428953,-1.2595849
-1.4286603502074027,-1.5789545
1.0640433879029925,1.1850111
0.8396718175357716,1.0639627
-1.0967939456951827,-0.8985066
-1.003445490544369,-0.67272943
-1.2902846471561802,-0.8556553
-1.4371011210417703,-1.0560873
0.8073204310625843,0.8678622
0.6602392640149409,0.7332232
-1.115087184228203,-0.9938772
-1.351134664077111,-1.3303523
0.7445429062442612,0.61843073
0.6675907188560799,0.54278386
0.4743402873216286,0.30817595
-0.8794408715860738,-0.93007296
0.7386113398988206,0.7811882
-1.49319981323662,-1.4684852
0.7477459520707992,0.52557856
-1.27491817172441,-1.2703582
0.36970745698805824,0.2876465
