SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_10s,SOP(W)
0.150997298,10.002,3.3451,3.199,6.000681818,42.317
0.100734499,10.003,3.1408,2.8621,6.000945455,17.405
1,10.001,0.74664,4.1905,0,99.374
0.951268758,10.002,2.4254,3.6991,12.00063636,99.152
0.901256579,10.002,2.9945,3.7104,12.00172727,98.906
0.801347085,10.002,3.9957,3.6255,12.00154545,97.206
0.701343607,10.004,4.4233,3.5658,12,95.322
0.601343612,10.002,4.5069,3.4859,12.00181818,92.319
0.501305325,10.002,4.2512,3.39,12.00136364,88.74
0.40130185,10.002,4.8899,3.2971,11.99972727,84.735
0.301298375,10.002,4.6258,3.2075,12.00209091,79.224
0.201294898,10.002,4.8189,3.0729,11.99963636,58.084
0.151937112,10.002,4.1287,3.0137,11.99990909,43.323
1,10.002,1.1356,4.1906,0,99.59
0.950986816,10.002,2.2157,3.7753,9.000354545,99.293
0.901002486,10.002,2.5991,3.7788,8.99874,99.002
0.801354051,10.002,3.6709,3.6914,9.000281818,97.287
0.701367979,10.002,3.6772,3.6267,8.998381818,95.328
0.601343616,10.003,4.0702,3.5484,9.00037,92.439
0.501340141,10.002,4.2862,3.4531,9.00214,88.962
0.401336664,10.001,3.6419,3.3612,8.998054545,85.158
0.301333186,10.003,4.3018,3.2773,9.00023,80.002
0.20132971,10.003,4.2901,3.1562,9.0005,58.875
0.150962487,10.003,3.9069,3.0973,9.002718182,42.563
0.101535086,10.002,3.439,2.6414,9.00035,17.676
1,10.003,0.38608,4.1906,0,99.42
0.949998265,10.002,0.48065,4.0894,0,99.233
0.899996532,10.003,0.96375,4.0708,0,99.102
0.799993061,10.004,0.79966,4.0222,0,97.76
0.699993072,10.002,0.94299,3.9166,0,95.805
0.59998612,10.002,1.2099,3.8332,0,93.252
0.499982648,10.002,0.56926,3.7414,0,90.168
0.399979176,10.002,1.0899,3.6544,0,87.399
0.299975701,10.002,0.93361,3.5917,0,84.357
0.199972228,10.003,1.0134,3.5136,0,75.532
0.149987902,10.004,1.1386,3.4564,0,48.083
0.099968764,10.003,0.90388,3.41,0,23.625
1,10.002,1.1537,4.1909,0,99.792
0.950395078,10.002,2.047,3.9525,3,99.561
0.900393337,10.003,2.1728,3.9378,3.000009091,99.14
0.800501242,10.002,1.904,3.8528,3,97.274
0.700494281,10.003,1.5094,3.7722,3.00006,95.231
0.600508204,10.001,2.1653,3.7003,3.00004,92.676
0.500504723,10.002,2.0998,3.6081,3,89.673
0.400501242,10.002,1.7116,3.5161,3,86.646
0.300497762,10.002,2.2309,3.44,2.999990909,82.66
0.200459473,10.002,1.7876,3.3508,3.000045455,65.16
0.150475137,10.002,2.5852,3.309,3.00025,43.211
0.100351569,10.002,2.5025,3.1368,3.00005,18.621
1,10.002,1.0175,4.1912,0,99.894
0.950113133,10.001,0.98904,4.0327,1.000093,99.704
0.900128796,10.002,1.1354,4.0157,1.000048182,99.224
0.800111392,10.002,1.2699,3.9424,1.000127273,97.418
0.700121835,10.002,0.66091,3.8446,1.000118182,95.418
0.600194932,10.002,0.66591,3.7739,1.000127273,92.892
0.500121835,10.001,0.48023,3.6857,1.00011,89.868
0.400118354,10.003,0.73242,3.5974,1.000116364,87.006
0.300114873,10.002,1.0582,3.5267,1.000078182,83.649
0.200111393,10.003,0.77883,3.4401,1.000109091,71.244
0.150127056,10.001,1.2674,3.3933,1.000136364,44.98
0.100177528,10.002,1.6871,3.3205,1.000118182,20.597
0.050088768,10.002,1.5939,2.8473,1.000061818,4.1932
