SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,SHAP_test,fold
SOC_100,0.9998703309423077,12.412769230769227,16.405054807692306,4.183234615384615,0.05811113500000001,1.3653846153846154,1.0026388968950584,0.32799743983462515,0.02094347819916528,0.5374005722027057,0.3759168478949534,0.18627244691623046,0.03662678108067037,4.0
SOC_95,0.9499446949692308,12.587153846153846,14.032538153846154,4.065567692307692,0.5551498202923076,1.2923076923076924,0.8888048215169929,0.3248951961018611,0.01941670750393174,0.478265509558179,0.3730432397595387,0.18214033132890026,0.03274829802117668,4.0
SOC_90,0.8999719605471698,13.700603773584906,14.541602830188683,4.035858490566038,0.6562717559433963,1.3773584905660377,0.9522163262872265,0.3260233907025738,0.01849060201248646,0.47085539644812496,0.35648764250292886,0.18113595648723624,0.04102358181468861,4.0
SOC_80,0.7999843543617022,13.662148936170212,14.64336936170213,3.9391723404255305,0.8270484017234043,1.425531914893617,0.8200595720473377,0.30386560883660346,0.022967352392151953,0.4672664365432958,0.2981230602330718,0.18804758136864122,0.04294819461429452,4.0
SOC_70,0.7000093433571429,13.145595238095238,14.895851904761903,3.8428714285714287,0.918231171952381,1.4761904761904763,0.8151126568080662,0.2551068379033157,0.029159555250246615,0.5189343624358022,0.20387397419889955,0.14000067248519155,0.04397184814415162,4.0
SOC_60,0.5999978439074075,16.891462962962958,14.955913148148149,3.7585888888888883,0.7447052935,1.3703703703703705,0.6790142984596218,0.18210038218645086,0.031149178777985204,0.5548583469103539,0.10906957587049099,0.11958651895469909,0.0372152218535646,4.0
SOC_50,0.4999938739400001,16.96238,14.404563000000001,3.667332,0.80619559878,1.4,0.6715784752679717,0.07058914143098519,0.02740203761421144,0.5241976021828828,0.08272121745523764,0.1115061815293855,0.026211147306207567,4.0
SOC_40,0.3999738181698113,17.172792452830187,13.71604358490566,3.5884735849056604,0.7564739943773586,1.3773584905660377,0.6656896152546328,0.0865901503079562,0.026750806955014403,0.4928986758299892,0.1735032420602758,0.1024530365578457,0.019379866300326475,4.0
SOC_30,0.29984356134482754,17.450862068965513,13.524477068965519,3.515203448275862,0.6969186600000001,1.3448275862068966,0.7595863157303733,0.1905249288890527,0.024342904763440764,0.4623119541066539,0.319260688334576,0.10405510089228708,0.01519097663124959,4.0
SOC_20,0.1999914376551724,16.14018965517241,12.719153275862068,3.4234948275862065,0.7184800717068964,1.3448275862068966,0.9143755837639004,0.4487070710333225,0.023356423746706146,0.37671203979112383,0.46687486142528256,0.08900270219054272,0.02088542154275587,4.0
SOC_15,0.14999969261538462,16.498169230769232,12.692021846153848,3.376298461538462,0.6131316522307693,1.2923076923076924,1.051362704105627,0.6648794467224776,0.02432519243971015,0.29948243475415237,0.5369647864360282,0.07022158294145125,0.030808054630572977,4.0
SOC_10,0.10002153183720928,14.875093023255811,14.725344418604653,3.267774418604651,0.5841566366976744,1.4186046511627908,1.2377685621904042,0.8648765527543634,0.02420150424965636,0.3130148312120244,0.6801419707162774,0.07100696720931472,0.05000444602416178,4.0
SOC_5,0.04998857561111111,11.551333333333336,20.688188888888888,3.116422222222222,0.1962121208888889,1.5,1.328119727175317,0.8734557522733748,0.02310809902006036,0.42553568754772036,0.7849694733162484,0.08074381076281295,0.05633102459134534,4.0
SOC_2,0.01999759457142857,8.85957142857143,19.67797142857143,3.2671571428571426,0.0,2.0,1.4316370979108122,0.8396596901494612,0.012174273897627636,0.45407550096611626,0.6010109030371158,0.13341794257135395,0.0893189146050385,4.0
