colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes,bin_id,bin_mid,bin_median,bin_min,bin_count,bin_left,bin_right
1.0,0.1,0.1,2,3,1,1.0,5.508281524445191,0.9742620275032547,649,650,2724,2024,4748,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.1,0.05,3,3,10,1.0,5.510315688447241,0.974243014341312,851,852,5402,4500,9902,5,4945.5,4.541048571460504,3.4718231235719323,98,4529.2,5407.0
1.0,0.3,0.1,3,3,20,1.0,5.511818285137542,0.9742289651868078,372,373,2793,2370,5163,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.1,0.1,2,3,5,1.0,5.512074202882937,0.9742265719953432,638,639,2721,2032,4753,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.0,0.1,2,3,5,1.0,5.512074202882937,0.9742265719953432,638,639,2748,2059,4807,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.3,0.05,3,3,1,1.0,5.512317343014486,0.9742242981896376,438,439,2839,2350,5189,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.0,0.03,3,5,10,1.0,5.517849305284521,0.9741725371061551,999,1000,7446,6446,13892,8,7424.0,4.700652294768277,3.536485358593364,207,7162.599999999999,8040.4
0.75,0.1,0.05,3,5,10,1.0,5.5184563290450015,0.9741668541869049,618,619,4596,3927,8523,5,4945.5,4.541048571460504,3.4718231235719323,98,4529.2,5407.0
1.0,0.3,0.1,3,8,5,1.0,5.518752697398362,0.9741640793774232,243,244,1859,1565,3424,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
1.0,0.3,0.1,3,3,1,1.0,5.521771577762461,0.974135806001034,179,180,1398,1168,2566,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
0.75,1.0,0.05,3,3,1,1.0,5.526712057691915,0.9740895024934162,282,283,2169,1836,4005,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.1,0.1,3,8,1,1.0,5.5304937061031705,0.9740540318868136,221,222,1706,1434,3140,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
1.0,0.3,0.05,2,3,5,1.0,5.533908231653992,0.9740219839270924,997,998,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.1,0.05,2,3,5,1.0,5.533908231653992,0.9740219839270924,997,998,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.0,0.05,2,3,5,1.0,5.533908231653992,0.9740219839270924,997,998,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.1,0.05,3,5,20,1.0,5.534494627122308,0.974016478162501,904,905,6586,5631,12217,7,6931.0,4.805455757325583,3.3898166653023294,117,6284.799999999999,7162.599999999999
1.0,0.1,0.1,2,8,10,1.0,5.536153422035324,0.9740009003018646,586,587,2548,1911,4459,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.0,0.1,2,8,10,1.0,5.536153422035324,0.9740009003018646,586,587,2548,1911,4459,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.3,0.1,2,3,10,0.8,5.540705912852923,0.9739581235510064,990,991,3966,2966,6932,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.1,0.05,2,5,5,1.0,5.541132211053523,0.973954116107796,998,999,3976,2976,6952,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.05,3,5,10,1.0,5.547848615210565,0.9738909374304752,584,585,4341,3706,8047,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.1,0.03,3,8,10,1.0,5.5537439557158885,0.9738354191183544,981,982,7267,6267,13534,8,7424.0,4.700652294768277,3.536485358593364,207,7162.599999999999,8040.4
1.0,0.3,0.1,2,5,10,1.0,5.55565123460037,0.9738174450374606,537,538,2262,1674,3936,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.0,0.1,2,5,10,1.0,5.55565123460037,0.9738174450374606,537,538,2352,1764,4116,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.1,0.1,2,5,10,1.0,5.55565123460037,0.9738174450374606,537,538,2352,1764,4116,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.0,0.05,2,5,5,1.0,5.556218750216719,0.9738120956132,998,999,3978,2978,6956,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.1,0.05,3,8,10,1.0,5.556442558638989,0.973809985836076,649,650,4717,4017,8734,5,4945.5,4.541048571460504,3.4718231235719323,98,4529.2,5407.0
0.75,0.0,0.1,2,3,1,0.8,5.561758680776959,0.9737598473107912,546,547,2385,1788,4173,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.1,0.1,2,3,1,0.8,5.561758680776959,0.9737598473107912,546,547,2385,1788,4173,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.3,0.05,2,5,5,1.0,5.5643340315638525,0.9737355408827248,999,1000,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.1,0.05,2,5,5,1.0,5.5643340315638525,0.9737355408827248,999,1000,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.0,0.05,2,5,5,1.0,5.5643340315638525,0.9737355408827248,999,1000,4000,3000,7000,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.0,0.1,2,8,1,1.0,5.565128501660768,0.9737280403204296,602,603,2612,1959,4571,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.1,0.1,2,8,1,1.0,5.565128501660768,0.9737280403204296,602,603,2612,1959,4571,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.0,0.1,2,5,5,1.0,5.565882816041092,0.9737209178757174,632,633,2732,2049,4781,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
1.0,0.1,0.1,2,5,5,1.0,5.565882816041092,0.9737209178757174,632,633,2732,2049,4781,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,0.1,0.05,3,8,5,1.0,5.566975939195176,0.9737105945918948,675,676,4493,3767,8260,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
0.75,0.3,0.03,3,5,1,1.0,5.567388228777388,0.9737067004671662,586,587,4518,3881,8399,4,3985.0,6.05650129297567,3.87937323141084,405,3651.3999999999996,4529.2
1.0,0.3,0.1,2,8,10,1.0,5.568796579516912,0.9736933962498282,547,548,2248,1650,3898,2,2382.0,5.793392504361757,4.116880789176335,219,1895.8,2773.6
0.75,1.0,0.1,2,5,5,0.8,5.570545431643692,0.973676870746233,761,762,3214,2402,5616,3,3154.0,5.783886118106104,3.663666929472131,169,2773.6,3651.3999999999996
1.0,0.3,0.1,3,5,1,1.0,5.571119559874083,0.9736714444803116,178,179,1429,1200,2629,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
0.75,1.0,0.1,3,8,5,1.0,5.57435575744637,0.9736408477021754,145,146,1116,920,2036,1,1602.0,5.804113719417572,4.31465302959867,156,1018.0,1895.8
