fold,seed,n_estimators,train_rmse,train_r2,test_rmse,test_r2
test_CC,0,940,1.0207196862743646,0.9991286959422607,5.396563698050191,0.9738087891661423
test_CC,1,940,1.0660557771257233,0.9990495777152879,5.7697970088502455,0.9700606732694321
test_CC,2,940,1.0230002126976971,0.999124798198933,5.5966821322412965,0.9718302985388072
test_CC,3,940,0.943777173802611,0.99925510391235,5.597011496740026,0.9718269828698485
test_CC,4,940,1.2510461073525163,0.998691109286096,5.89649194528,0.968731404050233
test_CC,5,940,0.9987451919387793,0.9991658077363013,5.625583729852248,0.9715386073135647
test_CC,6,940,1.1752248445856741,0.9988449555898591,5.710821470566893,0.970669590354454
test_CC,7,940,1.0849897649420501,0.9990155174164999,5.69596098095594,0.9708220367774801
test_CC,8,940,1.0448657048272887,0.999086985438214,5.563060635613905,0.9721677351394493
test_CC,9,940,1.1207046535140923,0.9989496377490281,5.719286971872173,0.9705825693697908
test_CC,10,940,1.0534281857972112,0.9990719601541941,5.520024234130166,0.9725966959039285
test_CC,11,940,1.0806559772514692,0.9990233663708337,5.689644928032137,0.9708867097569468
test_CC,12,940,1.1957623751725364,0.9988042331124573,5.646215459493916,0.9713294611788844
test_CC,13,940,1.0266612526713355,0.9991185227707794,5.579212777923294,0.9720058805923611
test_CC,14,940,0.992918603071107,0.9991755125490037,5.878672693843727,0.9689201064422601
test_CC,15,940,1.1059269936174736,0.9989771553646086,5.8095706369914835,0.9696464819302909
test_CC,16,940,1.2003641695355376,0.9987950117793016,5.5781623792161295,0.972016420509
test_CC,17,940,1.24161894795159,0.9987107610496679,5.399738095809161,0.9737779674141676
test_CC,18,940,1.0892606494787556,0.9990077516532441,5.6622746634517815,0.971166137332893
test_CC,19,940,1.178808325636459,0.9988379009565419,5.7061576267179985,0.9707174771932644
test_US06,0,346,0.9925892778802947,0.9991139461428318,4.903763473423831,0.9798898280738969
test_US06,1,346,1.0035672713225874,0.9990942383255851,5.27396207381036,0.9767388726255917
test_US06,2,346,1.037546688294021,0.9990318642478538,4.9888595209155895,0.9791858200616397
test_US06,3,346,1.0461874688725181,0.9990156716604798,5.139360574942763,0.9779110571290741
test_US06,4,346,0.9241121984823476,0.9992319838235998,5.239885488071342,0.9770384951821556
test_US06,5,346,1.0139110767491086,0.9990754706630179,4.993628110468635,0.9791460106757158
test_US06,6,346,1.0341040564728061,0.9990382782349306,5.072860548335052,0.9784789923252689
test_US06,7,346,1.0219634987924808,0.9990607272337956,5.013140382049093,0.9789827211080366
test_US06,8,346,1.0300019003664929,0.9990458931511907,4.93133550952558,0.9796630482946004
test_US06,9,346,1.0241036132333425,0.9990567892145563,5.109422515865333,0.9781676547925182
test_US06,10,346,1.066786173997902,0.9989765285835184,4.756809115892189,0.9810770778360716
test_US06,11,346,1.0270279311479718,0.9990513948653187,5.115133984874488,0.978118817783453
test_US06,12,346,1.0146807527009958,0.9990740664805355,5.169334871957654,0.9776526470372241
test_US06,13,346,1.029716329658844,0.9990464221350636,4.877396315238193,0.9801055083511552
test_US06,14,346,1.0561958760922865,0.9989967483185715,5.376296767675016,0.9758274080122182
test_US06,15,346,0.9886088886089965,0.9991210382358935,5.112351486348387,0.9781426168853734
test_US06,16,346,1.0795247265639865,0.9989519399906454,4.913298626247018,0.9798115453460088
test_US06,17,346,1.0603948706394266,0.9989887554409204,4.887178130169851,0.9800256299216826
test_US06,18,346,0.9781269655520144,0.9991395781605092,4.741458028473926,0.9811990161764237
test_US06,19,346,0.9864041968090673,0.99912495420111,5.229344222353017,0.9771307872219366
