SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0.95,10,2.58,19.76,95.421,30.708916,-5.3469925,-0.5311568,-2.802034
0.95,25,2.78,14.71,109.4,26.345036,4.142562,-0.004547238,5.564558
0.95,10,2.86,13.52,105.85,27.90685,-4.272944,2.5419283,6.925685
0.95,10,2.78,14.71,103.78,28.74664,-4.5262456,-0.13543871,6.560705
0.95,25,2.74,16.12,107.8,27.442335,4.6746197,0.16131386,2.631619
0.95,25,2.76,15.32,108.69,26.831993,4.3984165,0.04190317,4.276535
0.95,25,2.54,20.9,102.8,28.296198,5.134052,-0.098938905,-3.1248186
0.95,10,2.58,20.28,94.592,30.718737,-5.3735757,-0.59736043,-3.3969884
0.95,25,2.42,23.97,99.855,29.71456,5.0498605,-2.1366332,-6.0204997
0.95,25,2.38,25.61,98.143,29.197098,5.2500014,-1.8065518,-7.279532
0.95,25,2.54,21.78,101.9,29.00651,4.96602,-0.052095626,-5.08028
0.95,10,2.54,20.9,93.85,30.637709,-5.4676876,-0.9428037,-3.5479374
0.95,10,2.42,22.58,92.031,31.903597,-3.179957,-1.8711033,-7.013214
0.95,25,2.42,22.58,93.552,29.847168,3.0367913,-3.4944441,-9.833532
0.95,10,2.74,16.12,100.54,29.988558,-5.059516,-0.20798865,2.6655302
0.95,10,2.65,17.57,99.252,29.776628,-5.092787,0.43770978,0.8445737
0.95,25,2.61,18.56,105.33,27.616394,4.914112,0.5978539,-0.5417883
0.95,10,2.67,18.24,97.371,30.477638,-5.1495457,-0.16282436,-0.6920715
0.95,25,2.71,15.67,108.61,26.657677,4.4007583,0.3881236,4.0756927
0.95,10,2.65,19.12,96.08,30.833519,-5.2046328,-0.121195346,-2.5967753
0.95,25,2.58,20.28,103.41,28.29222,5.034803,0.040209737,-3.0345163
0.95,10,2.71,15.67,102.22,28.98787,-4.754028,0.16606036,4.6577153
0.95,10,2.79,14.02,105.3994543,28.104235,-4.3791866,1.9359283,6.865122
0.95,10,2.33,28.63,85.4,32.110306,-5.6870184,-4.3560014,-9.955522
0.95,10,2.42,23.97,90.53,31.99641,-5.3482246,-1.9866874,-7.381515
0.95,25,2.33,28.63,95.287,29.512789,5.3887024,-4.108925,-8.283592
0.95,25,2.5,22.73,101.04,29.154652,5.0810637,-0.7040906,-5.327258
0.95,10,2.54,21.78,92.624,31.128431,-5.275017,-0.99844044,-5.142699
0.95,25,2.72,14.84,109.546348,25.661034,4.1552734,0.7779892,5.8964086
0.95,25,2.98,13.31,111.6447608,24.919594,3.641554,2.8676271,7.08352
0.95,25,2.65,19.12,104.6,28.38553,4.8691025,0.39210868,-2.4311402
0.95,10,2.72,14.84,103.8460163,27.949287,-4.51848,0.64057326,6.87941
0.95,10,2.85,13.16,106.7376955,27.89115,-4.575957,1.9469829,7.931603
0.95,25,2.5,24.22,98.99299934,29.880033,5.3761616,-1.067148,-8.242649
0.95,10,2.36,27.18,87.0,31.922222,-5.655478,-3.1391451,-9.40383
0.95,10,2.38,25.61,88.677,31.66411,-5.546162,-1.8731788,-8.769075
0.95,25,2.91,13.04,111.8757689,24.563028,3.6831543,2.9938078,7.41452
0.95,25,2.79,14.02,110.4839539,25.8627,3.9979916,1.8010184,5.8979383
0.95,10,2.76,15.32,102.34,29.278051,-4.77903,-0.26942,4.933942
0.95,25,2.36,27.18,96.754,29.36103,5.366612,-2.9261727,-7.8256707
0.95,25,2.86,13.52,110.87,25.655493,3.8838682,2.216522,5.9090157
0.95,10,2.68,16.52,100.7,29.45437,-4.935944,0.52549314,2.5434444
0.95,25,2.92,13.02,111.5207977,25.605885,3.8668118,2.6338522,6.410441
0.95,10,2.71,17.26,98.677,30.594427,-5.0470705,-0.050394338,0.16145629
0.95,10,2.98,13.31,107.8524354,26.871021,-4.0035033,3.7186365,8.232196
0.95,25,2.68,16.52,107.62,27.017284,4.582883,0.69229347,2.413378
0.9,10,2.91,13.04,107.286508,26.079556,-4.0256276,3.720878,8.611784
0.9,10,2.48,21.32,93.166,29.945831,-5.3879714,-0.9337417,-3.6920958
0.9,10,2.78,14.71,103.17,28.241913,-4.502613,-0.121018685,6.5663586
0.9,10,2.5,22.73,91.553,30.896658,-5.3647804,-1.0695338,-5.713543
0.9,10,2.82,14.02,104.46,27.796158,-4.477737,1.2693661,6.788422
0.9,25,2.82,14.02,109.55,25.446754,4.07311,1.3519428,5.840699
0.9,25,2.85,13.16,110.8716795,24.896595,4.1112447,2.1042824,7.128645
0.9,25,2.48,21.32,101.89,27.543575,5.0737033,-0.12242275,-3.3342366
0.9,25,2.42,22.58,93.166,29.290766,3.021349,-3.4979808,-9.823416
0.9,10,2.92,13.02,106.4130656,27.308887,-4.2388363,3.1480775,7.1989183
0.9,25,2.71,17.26,105.79,27.64076,4.6695595,0.17475826,0.15934964
0.9,25,2.67,18.24,104.82,27.545368,4.795003,0.18495181,-0.63341856
0.9,25,2.92,13.02,110.9106014,25.077879,3.8433437,2.6430488,6.436294
0.9,10,2.98,13.31,107.1902983,26.313864,-3.9798706,3.696368,8.221223
0.9,10,2.71,17.26,98.2,30.063889,-5.025794,-0.058932867,0.1616893
0.9,10,2.42,22.58,91.654,31.378242,-3.164356,-1.8782365,-7.006714
0.9,25,2.86,13.52,110.23,25.094135,3.8604004,2.225719,5.901518
0.9,10,2.74,16.12,99.936,29.467411,-5.0358834,-0.20511827,2.6663156
0.9,10,2.76,15.32,101.8,28.768454,-4.755397,-0.25499982,4.9347277
0.9,10,2.86,13.52,105.35,27.392591,-4.249312,2.5544105,6.92375
0.9,10,2.61,18.56,97.373,29.504927,-5.231295,0.0406796,-0.68781567
0.9,25,2.58,19.76,103.45,27.650274,4.994111,0.12400534,-2.4886177
0.9,10,2.5,24.22,88.9572129,31.705046,-5.6733975,-1.4069295,-9.238008
0.9,25,2.36,27.18,96.384,28.864231,5.358196,-2.8840227,-7.805441
0.9,10,2.79,14.02,104.7235546,27.597569,-4.3555546,1.9484102,6.8707743
0.9,25,2.5,22.73,100.6,28.59459,5.0656204,-0.710085,-5.317588
0.9,10,2.54,21.78,92.246,30.590849,-5.2594175,-1.0095826,-5.144293
0.9,25,2.38,25.61,97.751,28.62668,5.241585,-1.8138894,-7.2834334
0.9,25,2.98,13.31,111.0312821,24.315342,3.618086,2.842073,7.066983
0.9,10,2.54,20.9,93.466,30.108723,-5.449948,-0.95424163,-3.5409327
0.9,25,2.54,20.9,102.28,27.731903,5.1164823,-0.10678011,-3.118468
