bin_id,bin_mid,bin_median,bin_min,bin_count,bin_left,bin_right
1,1438.0,7.087502581023312,4.981276205540715,155,883.0,1730.6
2,2073.0,6.672090894225679,4.829146563423678,208,1730.6,2578.2
3,2911.0,6.5584972205310175,4.782413760978324,239,2578.2,3425.8
4,3965.0,6.910372272556976,4.940750945123547,389,3425.8,4273.4
5,4701.5,5.774217731157588,4.584673826139334,136,4273.4,5121.0
6,5609.0,5.6998395260633306,4.514996466227449,155,5121.0,5968.6
7,6428.0,5.794437360578116,4.467552170764162,81,5968.6,6816.2
8,7259.0,5.797689026827756,4.52217160685423,174,6816.2,7663.8
9,7926.0,5.4331042305971975,4.445262613043599,43,7663.8,8511.400000000001
10,9049.0,5.051422855799703,4.764828557346781,27,8511.400000000001,9359.0
11,9866.0,5.518701819162383,4.504252926947891,33,9359.0,10206.6
12,10675.0,5.469990547861247,4.746020135573293,30,10206.6,11054.2
13,11399.0,5.061680782749514,4.686324008889664,24,11054.2,11901.800000000001
14,12354.0,5.335770009883287,4.683722244037861,18,11901.800000000001,12749.4
15,13045.5,5.483517224954653,4.506356694981375,16,12749.4,13597.0
