colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample,val_rmse,val_r2,best_iteration,best_n_estimators,n_leaves,n_splits,n_nodes
0.75,0.0,0.1,4,5,20,1.0,4.929400738145845,0.9793875162278401,558,559,6889,6280,13169
0.75,0.3,0.1,4,3,10,0.8,4.932760439025226,0.9793594092090413,347,348,4700,4302,9002
0.75,1.0,0.1,4,3,5,0.8,4.93819839123613,0.9793138751042807,344,345,3426,3031,6457
0.75,0.0,0.1,4,3,10,0.8,4.939470210223069,0.9793032184265902,343,344,4949,4555,9504
0.75,0.1,0.1,4,5,1,0.8,4.940197500865461,0.9792971231641022,342,343,5037,4644,9681
0.75,0.0,0.03,4,5,5,0.8,4.949010092791558,0.9792231954582755,723,724,9564,8790,18354
0.75,0.3,0.1,4,3,20,0.8,4.949321900286981,0.9792205773316818,733,734,8530,7746,16276
0.75,0.0,0.05,4,5,1,1.0,4.950580276156809,0.979210009561496,528,529,7267,6688,13955
0.75,0.0,0.03,4,5,5,1.0,4.952470206976037,0.9791941329807934,996,997,12381,11381,23762
0.75,1.0,0.03,4,3,10,0.8,4.953840693059471,0.9791826162647544,733,734,8406,7622,16028
0.75,0.0,0.1,4,8,10,1.0,4.956367747171739,0.9791613721124721,782,783,9213,8380,17593
0.75,0.0,0.1,3,3,10,0.8,4.960339162640318,0.9791279637740783,852,853,6693,5790,12483
0.75,1.0,0.03,4,5,5,0.8,4.9606041879974505,0.9791257333755319,730,731,8106,7325,15431
0.75,0.3,0.1,3,3,5,0.8,4.963253836985777,0.9791034279269195,718,719,5702,4933,10635
0.75,1.0,0.1,4,5,1,0.8,4.9632933573199,0.9791030951441019,345,346,3391,2995,6386
0.75,0.0,0.03,4,5,1,0.8,4.96564016025677,0.9790833290298674,448,449,6598,6099,12697
0.75,0.0,0.1,3,3,20,0.8,4.96976671683848,0.9790485501543066,998,999,7392,6392,13784
0.75,0.1,0.05,4,5,5,0.8,4.970515324536915,0.9790422377461667,581,582,7637,7005,14642
0.75,0.1,0.1,4,8,10,0.8,4.974278568542025,0.9790104909253778,342,343,4463,4070,8533
0.75,0.1,0.05,4,8,20,0.8,4.975595561935522,0.9789993750605147,991,992,11015,10015,21030
0.75,0.1,0.03,4,5,1,0.8,4.978894096582217,0.9789715214098113,448,449,6524,6025,12549
0.75,0.3,0.03,4,5,1,0.8,4.984920221697152,0.9789205876372044,448,449,6427,5928,12355
0.75,0.1,0.1,3,3,20,0.8,4.985625546210443,0.9789146220941504,998,999,7328,6328,13656
0.75,0.3,0.1,4,8,10,0.8,4.98618097281103,0.978909923774142,342,343,4295,3902,8197
0.75,1.0,0.1,4,3,10,0.8,4.986924666682653,0.9789036320931097,345,346,3612,3216,6828
