,SOC,Temperature(C),Capacity,R_50%,SOP(W)
SOC,0.0,0.025796777988819446,0.4715052658551646,0.4369564904083666,1.276696555164578e-273
Temperature(C),0.025796777988819446,0.0,0.569118434709519,0.5413527999388226,1.6536691241352612e-06
Capacity,0.4715052658551646,0.569118434709519,0.0,0.0,7.868495123300213e-30
R_50%,0.4369564904083666,0.5413527999388226,0.0,0.0,7.550718432866774e-31
SOP(W),1.2766965551650133e-273,1.6536691241352612e-06,7.868495123300213e-30,7.550718432866774e-31,0.0
