,SOC,Temperature(C),Capacity,R_50%,SOP(W)
SOC,0.0,0.16761267923302267,0.5350262955910802,0.5543418485982103,1.831763065882359e-154
Temperature(C),0.16761267923302267,0.0,0.5678440372629927,0.572541015228765,0.00014609685006464112
Capacity,0.5350262955910802,0.5678440372629927,0.0,0.0,5.518609543110605e-13
R_50%,0.5543418485982103,0.572541015228765,0.0,0.0,6.223301188051823e-13
SOP(W),1.831763065882046e-154,0.00014609685006464112,5.518609543110605e-13,6.223301188051823e-13,0.0
