,SOC,Temperature(C),Capacity,R_50%,SOP(W)
SOC,1.0,-0.08670351045359041,0.030659977389056122,-0.030632784435381175,0.8603525011074751
Temperature(C),-0.08670351045359043,1.0,0.017534110882914625,-0.017518559525556462,0.14778284215217938
Capacity,0.03065997738905612,0.017534110882914625,1.0,-0.99911307978705,0.4222829928494303
R_50%,-0.030632784435381175,-0.017518559525556462,-0.99911307978705,1.0,-0.42084903321270495
SOP(W),0.8603525011074752,0.14778284215217938,0.42228299284943027,-0.42084903321270495,0.9999999999999999
