,SOC,Temperature(C),Capacity,R_50%,SOP(W)
SOC,0.0,0.07555741957105044,0.5304185341723631,0.5307834219947576,1.0475792625778288e-124
Temperature(C),0.07555741957105039,0.0,0.7197987342761032,0.7200368222112801,0.002366227868298396
Capacity,0.5304185341723633,0.7197987342761032,0.0,0.0,1.230934562045963e-19
R_50%,0.5307834219947576,0.7200368222112801,0.0,0.0,1.680549850841653e-19
SOP(W),1.0475792625777097e-124,0.002366227868298396,1.230934562045972e-19,1.680549850841653e-19,0.0
