SOC,PulseLength(s),Temperature(C),Voltage(V),SOP(W)
0.95,30.003,2.48,3.3357,59.296
0.95,30.003,2.568,3.3354,60.424
0.95,30.003,2.1781,3.3364,62.292
0.95,30.002,2.2379,3.3366,63.795
0.95,30.002,1.7776,3.337,64.995
0.95,14.568,1.7091,3.3375,65.889
0.95,15.211,2.5559,3.3374,63.388
0.95,30.002,2.3481,3.3437,61.27
0.949916667,30.002,2.6622,3.3445,62.428
0.949916667,30.002,2.9391,3.3455,63.474
0.949916667,30.003,2.9127,3.3459,64.121
0.949916667,30.003,2.628,3.3462,64.603
0.899916667,12.923,2.365,3.3358,63.394
0.9,13.373,2.3083,3.3361,61.204
0.899916667,16.023,1.9721,3.3414,59.071
0.899916667,19.259,1.7152,3.3426,56.859
0.899916667,24.137,2.2445,3.3429,54.711
0.899916667,30.003,1.6219,3.3431,52.636
0.899916667,30.003,1.8828,3.343,51.586
0.85,19.153,2.1157,3.3346,55.36
0.849916667,19.86,1.266,3.3359,53.442
0.849916667,24.469,2.1012,3.3404,51.571
0.849916667,30.002,1.6681,3.3413,49.64
0.849916667,30.002,1.562,3.3415,48.302
0.8,19.86,2.2316,3.3323,52.165
0.799916667,20.932,2.1959,3.3336,50.359
0.799916667,25.981,1.5387,3.3379,48.558
0.799833333,30.002,2.5353,3.3391,46.739
0.799916667,30.002,1.6683,3.3401,45.864
0.749833333,20.199,1.5411,3.3202,49.628
0.749916667,22.292,2.2985,3.3214,47.92
0.749916667,25.827,2.3682,3.3236,46.3
0.749916667,30.002,2.1391,3.3258,44.741
0.749916667,30.003,1.3442,3.328,43.45
0.749916667,30.002,1.5416,3.3292,43.305
0.7,24.415,1.3443,3.3022,45.052
0.7,26.767,1.8195,3.3033,43.499
0.7,30.003,2.3355,3.3114,42.044
0.7,30.002,2.3687,3.3131,41.112
0.65,29.231,1.4513,3.2958,40.796
0.65,30.003,1.918,3.2972,39.39
0.65,30.002,2.2326,3.305,38.414
0.6,30.003,1.4025,3.2921,34.871
0.6,30.002,0.6731,3.2928,36.4
0.6,30.002,1.6458,3.3008,35.643
0.6,30.002,0.89592,3.3019,36.05
0.6,30.002,1.641,3.3027,35.884
0.55,30.003,1.679,3.2899,30.226
0.55,30.002,1.3982,3.2905,34.285
0.55,30.003,1.1491,3.2981,33.584
0.55,30.003,1.9451,3.2993,34.151
0.499166667,30.003,1.3329,3.2886,27.1
0.5,30.002,1.4715,3.2888,32.845
0.5,30.003,2.2254,3.2962,32.307
0.5,30.002,2.4697,3.2975,33.28
0.449166667,30.003,2.9816,3.288,25.378
0.449166667,30.003,2.1198,3.2882,31.987
0.449166667,30.003,3.5975,3.2955,31.167
0.45,30.002,3.3222,3.2965,32.231
0.4,30.002,4.106,3.2864,23.211
0.399166667,30.002,4.2621,3.2864,31.785
0.4,30.002,4.2632,3.2942,30.895
0.399166667,30.002,4.4769,3.2954,32.325
0.35,30.003,5.855,3.2824,22.065
0.35,28.648,5.5711,3.2828,32.817
0.35,30.002,6.2424,3.2922,31.679
0.35,30.003,6.372,3.2938,32.219
0.35,30.003,7.3223,3.2949,32.739
0.35,30.002,6.9497,3.2957,33.243
0.35,30.003,7.8343,3.2963,33.769
0.35,30.002,7.7625,3.2969,34.239
0.35,30.003,8.1867,3.2972,34.736
0.349166667,30.002,8.7842,3.2976,35.182
0.349166667,30.002,9.0106,3.298,35.597
0.349166667,30.002,8.4999,3.2985,36.003
0.35,30.003,9.019,3.2987,36.393
0.35,30.003,9.0406,3.2988,36.766
0.35,30.002,9.1903,3.2992,37.142
0.349166667,30.002,10.431,3.2993,37.524
0.35,30.002,10.445,3.2996,37.885
0.299166667,30.002,9.7111,3.2778,24.459
0.3,25.1,9.7678,3.2784,38.581
0.299166667,28.785,10.534,3.2871,37.171
0.3,30.002,10.467,3.2886,35.638
0.25,30.003,10.812,3.2626,20.468
0.25,23.061,10.863,3.2626,37.356
0.25,26.561,11.543,3.2705,35.911
0.249166667,29.911,11.752,3.2719,34.359
0.249166667,30.002,12.738,3.2729,32.85
0.25,30.003,12.064,3.2736,33.518
0.199166667,30.003,12.835,3.2387,16.677
0.199166667,20.34,12.759,3.2385,36.602
0.2,23.261,13.03,3.2466,35.102
0.199166667,26.136,13.615,3.2481,33.497
0.199166667,29.169,12.97,3.2491,31.967
0.199166667,30.003,13.101,3.2499,30.509
0.15,30.003,13.269,3.2105,12.21
0.149166667,17.386,13.321,3.2096,35.327
0.149166667,20.019,13.344,3.2204,33.861
0.15,22.478,13.632,3.2218,32.234
0.149166667,25.003,13.345,3.2228,30.679
0.149166667,27.724,14.358,3.2235,29.202
0.149166667,30.003,13.599,3.2241,27.794
0.149166667,30.003,13.644,3.2246,26.816
0.15,30.003,13.308,3.2251,27.3
0.099166667,30.002,14.325,3.1996,6.9285
0.1,17.182,13.386,3.1995,29.495
0.099166667,19.452,14.241,3.2092,28.215
0.1,21.65,13.822,3.2106,26.827
0.099166667,23.956,14.02,3.2117,25.488
0.1,26.395,14.021,3.2126,24.223
0.1,28.959,14.243,3.2132,23.032
0.099166667,30.003,14.58,3.2139,21.893
0.099166667,30.002,14.429,3.2142,21.692
0.05,30.002,14.634,3.0579,1.8233
0.05,21.388,14.461,3.0635,16.096
0.049166667,24.06,13.991,3.0702,15.099
0.049166667,26.831,14.175,3.0741,14.135
0.049166667,29.738,14.21,3.0772,13.243
0.05,30.002,14.206,3.0797,12.389
0.049166667,30.002,13.975,3.0816,13.077
0.049166667,30.002,14.12,3.0834,12.777
0.05,30.002,14.072,3.0849,13.197
0.049166667,30.002,14.252,3.0862,13.06
0.05,30.003,14.414,3.0874,13.302
1.000025,2.003,40.514,3.5337,85.446
0.950033333,2.002,40.019,3.3373,84.981
0.90005,2.002,40.502,3.3356,84.768
0.850066667,2.002,40.856,3.3343,84.654
0.800083333,2.002,40.191,3.3332,84.616
0.7501,2.004,40.61,3.3288,84.491
0.700116667,2.002,40.521,3.3097,84.03
0.650133333,2.002,40.045,3.3016,83.611
0.60015,2.003,40.817,3.2989,83.27
0.550166667,2.002,41.071,3.2971,82.993
0.50015,2.003,40.941,3.2958,82.861
0.450208333,2.003,40.029,3.2943,82.699
0.400208333,2.002,40.945,3.292,82.504
0.350258333,2.003,40.159,3.279,82.083
0.300283333,2.003,40.93,3.2638,81.519
0.250266667,2.004,40.62,3.2519,80.84
0.200325,2.002,41.038,3.2328,79.969
0.150316667,2.004,40.568,3.2094,78.691
0.100341667,2.002,41.042,3.2037,76.611
0.050325,2.002,40.53,3.0944,69.873
0.050333333,2.003,41.121,3.1036,71.45
0.000341667,2.002,40.984,2.733,5.0314
0.000325,1.806,40.759,2.7702,38.94
0.000233333,2.002,40.135,2.7852,34.217
0.000283333,2.002,41.071,2.7953,37.281
1.000025,30.003,25.425,3.4365,77.575
0.950033333,30.002,25.024,3.3365,77.261
0.900083333,30.003,25.425,3.3375,76.732
0.850083333,30.002,25.455,3.3375,76.12
0.800083333,30.002,25.893,3.3374,75.481
0.750083333,30.002,26.008,3.3363,74.405
0.750166667,30.003,26.244,3.3373,73.672
0.700083333,30.002,25.073,3.311,73.038
0.700083333,30.002,25.373,3.3121,72.47
0.650083333,30.003,25.851,3.3022,71.375
0.600083333,30.003,26.169,3.2996,69.455
0.6,30.003,25.39,3.3007,70.211
0.550083333,30.003,25.069,3.2988,67.902
0.550083333,30.002,25.403,3.2997,69.136
0.55,30.003,26.214,3.3056,68.964
0.500083333,30.003,25.018,3.2981,65.906
0.5,30.002,25.58,3.2989,67.812
0.5,30.002,25.852,3.3043,67.503
0.499916667,30.002,26.255,3.305,67.991
0.45,30.001,25.621,3.2979,63.323
0.45,30.002,25.821,3.2986,66.116
0.449916667,30.003,25.479,3.3039,65.579
0.449916667,30.002,26.072,3.3045,66.051
0.399916667,30.002,26.07,3.2975,57.1
0.40025,30.003,25.409,3.2982,64.285
0.40025,30.002,26.191,3.3038,62.551
0.4,30.003,25.58,3.3047,63.552
0.35,30.002,26.062,3.2955,49.684
0.35,27.687,25.758,3.296,61.196
0.349166667,30.002,26.261,3.3018,58.884
0.35,30.002,26.32,3.3024,57.53
0.35,30.003,26.132,3.3031,58.251
0.3,30.003,25.501,3.2843,41.46
0.3,24.547,25.921,3.2851,58.633
0.3,27.075,25.652,3.2947,56.561
0.3,29.784,25.808,3.2955,54.196
0.3,30.001,25.546,3.296,51.896
0.3,30.002,26.308,3.2966,52.472
0.25,30.002,25.698,3.2668,32.694
0.25,21.0,25.25,3.2671,56.483
0.25,22.979,25.834,3.2763,54.358
0.25,25.343,25.958,3.2771,51.972
0.25,27.866,26.059,3.2774,49.699
0.249166667,30.002,25.825,3.2777,47.526
0.25,30.002,25.474,3.2779,45.927
0.25,30.003,25.684,3.2783,46.717
0.2,30.001,26.184,3.2437,24.672
0.2,17.848,25.193,3.2434,54.22
0.2,19.579,26.302,3.2523,52.041
0.199166667,21.59,26.315,3.253,49.628
0.199166667,23.721,25.727,3.2535,47.336
0.2,26.069,25.456,3.254,45.154
0.2,28.791,25.437,3.2544,43.077
0.2,30.003,25.864,3.2547,41.075
0.2,30.002,26.286,3.2551,40.64
0.15,30.003,25.554,3.2129,15.792
0.15,13.868,25.389,3.212,53.269
0.15,15.435,25.339,3.2234,51.072
0.15,17.163,26.186,3.2244,48.563
0.15,19.011,25.744,3.2248,46.183
0.149166667,21.04,26.319,3.2252,43.931
0.15,23.224,26.319,3.2255,41.761
0.15,25.583,26.362,3.2258,39.719
0.15,28.075,25.847,3.2261,37.777
0.149166667,30.002,25.863,3.2265,35.947
0.15,30.002,25.612,3.2267,34.899
0.15,30.002,25.583,3.227,35.47
0.1,30.002,25.3,3.2034,6.5981
0.099166667,12.787,25.62,3.2024,45.641
0.1,14.294,25.548,3.2119,43.647
0.1,15.759,26.181,3.2129,41.463
0.1,17.351,26.02,3.2136,39.398
0.099166667,19.048,25.416,3.2142,37.446
0.1,20.91,26.083,3.2145,35.555
0.099166667,22.859,25.375,3.2151,33.785
0.099166667,24.925,25.543,3.2155,32.095
0.1,27.131,25.535,3.2158,30.508
0.1,29.469,25.906,3.216,28.986
