SOC,PulseLength(s),Temperature(C),Voltage(V),SOP(W)
0.499916667,10.004,-17.947,3.2784,16.894
0.499916667,10.003,-18.922,3.2792,17.098
0.449916667,10.004,-18.188,3.2489,12.409
0.449916667,10.005,-17.914,3.2587,13.215
0.449916667,10.004,-16.912,3.264,13.933
0.449916667,10.003,-17.269,3.2686,15.255
0.449833333,10.003,-18.126,3.2712,16.153
0.399916667,10.002,-17.339,3.2438,12.15
0.399833333,10.002,-18.73,3.2548,13.01
0.399833333,10.003,-17.628,3.2605,13.42
0.399916667,10.002,-18.676,3.2642,13.837
0.399833333,10.002,-19.095,3.2669,14.095
0.399916667,10.003,-18.574,3.2691,14.319
0.399916667,10.003,-18.511,3.2707,14.596
0.399916667,10.003,-19.072,3.272,14.902
0.349916667,10.002,-18.044,3.2319,10.87
0.349916667,10.003,-18.352,3.2455,11.363
0.349916667,10.002,-18.948,3.2525,11.886
0.349916667,10.002,-19.095,3.2572,12.382
0.349916667,10.003,-18.667,3.2604,12.806
0.349833333,10.003,-19.425,3.2632,13.26
0.299916667,10.004,-18.242,3.2164,10.079
0.299916667,10.001,-18.219,3.2332,10.459
0.299916667,10.004,-18.397,3.2415,10.919
0.299916667,10.003,-18.701,3.2468,11.363
0.299916667,10.005,-18.563,3.2509,11.735
0.299916667,10.002,-19.04,3.2539,12.047
0.299916667,10.003,-18.111,3.2564,12.328
0.299916667,10.003,-18.949,3.2585,12.609
0.299916667,10.002,-18.831,3.2603,12.857
0.299916667,10.003,-18.794,3.2618,13.036
0.299916667,10.003,-18.57,3.2633,13.226
0.25,10.003,-19.008,3.1932,8.8805
0.249916667,10.001,-18.244,3.2163,9.3327
0.25,10.003,-19.109,3.2248,9.8288
0.25,10.003,-17.381,3.2309,10.288
0.249916667,10.003,-17.65,3.2355,10.775
0.249916667,10.002,-18.384,3.2393,11.159
0.249916667,10.001,-18.945,3.2422,11.354
0.249916667,10.002,-19.261,3.2443,11.536
0.2,10.001,-18.783,3.1268,6.7893
0.199916667,10.002,-18.929,3.1836,7.7806
0.199916667,10.003,-18.665,3.1978,8.497
0.199916667,10.003,-18.587,3.2078,9.0779
0.2,10.002,-19.152,3.2113,9.4721
0.2,10.003,-18.936,3.2152,9.8177
0.199916667,10.003,-19.356,3.2187,10.077
0.199916667,10.002,-18.192,3.2211,10.297
0.2,10.002,-19.262,3.2232,10.52
1.000025,9.911,-8.246,3.512,44.26
1.000025,9.982,-9.2811,3.5074,43.497
1.000016667,10.688,-9.0184,3.5069,42.841
1.000016667,11.351,-9.2156,3.5079,42.235
0.999975,12.591,-8.3252,3.5142,41.636
0.999975,13.69,-8.2536,3.515,40.919
0.999975,14.716,-8.3749,3.5169,40.268
0.999975,15.746,-8.3181,3.5171,39.583
0.999975,17.51,-8.4486,3.5157,38.871
0.999975,18.915,-8.8751,3.5156,38.22
0.999975,21.07,-8.0908,3.5145,37.567
0.999975,22.788,-8.6546,3.5144,36.951
1.0,25.414,-8.6091,3.5111,36.284
1.0,28.551,-8.4228,3.511,35.683
1.0,30.003,-9.3215,3.5095,35.101
1.0,30.003,-9.2291,3.5069,34.683
0.999916667,30.003,-8.1567,3.5032,34.436
1.0,30.003,-9.1759,3.4977,34.204
1.0,30.004,-8.2264,3.4939,34.186
1.0,30.0,-8.9903,3.4903,34.042
0.95,29.593,-9.0932,3.3266,34.262
0.95,30.004,-8.1405,3.3288,33.075
0.95,30.002,-8.8195,3.3294,32.644
0.95,30.003,-8.8975,3.33,32.359
0.9,25.755,-8.1796,3.3219,33.856
0.9,29.403,-8.5484,3.3249,32.659
0.9,30.003,-9.2947,3.3269,31.512
0.9,30.002,-8.7808,3.328,31.197
0.85,26.98,-8.2259,3.3161,32.501
0.85,30.004,-8.2665,3.3204,31.402
0.850083333,30.003,-9.0089,3.3236,30.511
0.85,30.003,-8.1695,3.3251,30.391
0.8,28.365,-9.1926,3.3089,31.118
0.800083333,30.001,-8.2082,3.3141,30.124
0.800083333,30.003,-8.1122,3.3175,29.57
0.8,30.002,-9.1539,3.3195,29.492
0.75,29.266,-9.2223,3.3003,29.752
0.750083333,30.001,-8.8496,3.3052,28.846
0.750083333,30.004,-8.6106,3.3079,28.475
0.750083333,30.003,-8.6823,3.3098,28.454
0.750083333,30.003,-8.1124,3.3113,28.508
0.750083333,30.003,-8.481,3.3129,28.56
0.700083333,29.921,-8.6603,3.2923,28.299
0.700083333,30.003,-8.7382,3.2962,27.4
0.700083333,30.003,-8.1117,3.2979,27.018
0.650083333,30.003,-9.1056,3.2865,25.645
0.650083333,30.004,-9.1889,3.2892,25.635
0.650083333,30.004,-8.5054,3.291,25.469
0.650083333,30.003,-9.3051,3.292,25.355
0.650083333,30.004,-8.481,3.2931,25.289
0.600083333,30.005,-8.148,3.2833,22.204
0.60025,30.002,-8.5738,3.285,23.809
0.600416667,30.003,-8.1077,3.2869,23.444
0.600083333,30.003,-7.9286,3.2942,24.525
0.550416667,30.002,-8.4656,3.2808,18.911
0.55,30.003,-8.7975,3.2823,21.917
0.5,30.004,-8.0998,3.2772,17.24
0.500833333,30.003,-8.5183,3.2789,20.534
0.5,30.001,-9.3568,3.2819,21.099
0.5,30.001,-9.3358,3.2838,21.481
0.45,30.001,-7.5476,3.2733,15.884
0.450833333,30.003,-8.2675,3.2757,19.284
0.45,30.003,-8.817,3.2858,20.048
0.45,30.002,-9.1457,3.2878,20.367
0.450833333,30.001,-9.2242,3.2893,20.673
0.4,30.002,-9.1649,3.2687,13.854
0.4,30.003,-8.8931,3.2714,17.721
0.4,30.004,-8.2908,3.2758,18.539
0.4,30.003,-8.289,3.2788,19.032
0.4,30.003,-8.9032,3.2809,19.366
0.350833333,30.003,-8.6464,3.2646,13.031
0.35,30.003,-8.3797,3.2671,16.464
0.35,30.002,-9.1218,3.2715,17.271
0.35,30.003,-8.0741,3.2746,17.76
0.35,30.003,-8.5283,3.2769,18.144
0.35,30.002,-9.1783,3.2788,18.478
0.3,30.001,-8.1461,3.2573,11.564
0.3,30.002,-8.3621,3.2601,15.0
0.3,30.004,-8.3496,3.2643,15.777
0.3,30.003,-8.5924,3.2674,16.285
0.3,30.003,-8.2255,3.2693,16.678
0.300833333,30.003,-9.2248,3.271,16.999
0.25,30.003,-8.8132,3.2422,9.7538
0.25,30.002,-8.3821,3.246,13.026
0.25,30.003,-7.8611,3.2506,14.064
0.25,30.003,-7.2802,3.2534,14.973
0.25,30.003,-8.4887,3.257,15.533
0.250833333,30.002,-8.0978,3.2583,15.365
0.25,30.001,-7.9363,3.2592,15.765
0.25,30.002,-8.1399,3.2602,16.097
0.2,30.002,-8.8507,3.2213,8.5207
0.2,30.003,-9.835,3.2249,11.07
0.2,30.003,-9.5012,3.23,11.851
0.2,30.002,-9.62,3.232,12.331
0.2,30.002,-9.6143,3.2359,12.813
0.150833333,30.002,-9.5221,3.1957,7.4074
0.15,30.002,-8.3353,3.1991,8.8041
0.15,30.002,-8.4991,3.2049,9.744
0.15,30.004,-8.5261,3.2077,10.258
0.15,30.002,-9.1525,3.209,10.649
0.15,30.002,-8.5681,3.2107,10.954
0.1,30.003,-8.3663,3.166,6.4701
0.100833333,30.002,-8.0396,3.1789,7.0934
0.100833333,30.002,-8.544,3.1855,7.6522
0.1,30.002,-8.3434,3.1899,8.1069
0.1,30.001,-8.0201,3.1928,8.4809
0.1,30.002,-8.6698,3.1954,8.8024
0.1,30.003,-8.1853,3.1973,9.0678
0.1,30.003,-8.1122,3.199,9.2862
0.05,30.004,-8.894,2.9664,4.7337
0.05,30.001,-8.2053,3.0234,4.7654
0.05,30.002,-9.2314,3.0501,5.002
0.05,30.002,-8.7363,3.0603,5.228
0.05,30.005,-8.949,3.0673,5.4426
0.05,30.002,-8.2741,3.0724,5.6161
0.05,30.003,-8.2426,3.0765,5.7533
0.05,30.003,-8.1763,3.0801,5.8688
0.05,30.002,-8.3601,3.0831,5.978
0.05,30.003,-9.2788,3.0857,6.0786
1.000025,30.003,40.754,3.4044,81.174
0.950041667,30.002,40.781,3.3375,81.093
0.900083333,30.002,40.579,3.338,80.713
0.850083333,30.002,40.178,3.338,80.334
0.800083333,30.002,40.9,3.3379,79.908
0.750083333,30.002,40.191,3.3368,79.164
0.750083333,30.003,40.381,3.3373,78.683
0.700083333,30.002,40.896,3.3117,78.243
0.700083333,30.003,40.662,3.3117,78.479
0.650083333,30.002,40.351,3.3045,77.238
0.600083333,30.004,40.913,3.3028,76.077
0.550083333,30.002,40.999,3.3018,75.112
0.550083333,30.002,40.937,3.3024,76.064
0.500083333,30.001,40.928,3.301,74.341
0.500083333,30.002,40.957,3.3016,75.274
0.45,30.002,40.05,3.3006,72.996
0.45,30.003,40.825,3.3013,74.099
0.4,30.003,40.846,3.2997,70.795
0.4,30.002,40.405,3.3006,72.301
0.35,30.002,40.394,3.2961,67.818
0.349666667,30.003,40.13,3.2969,69.71
0.300166667,30.001,40.649,3.2819,62.825
0.3,30.002,40.073,3.2827,67.729
0.3,30.002,40.267,3.2944,66.452
0.25,30.003,40.376,3.2651,47.217
0.25,25.804,40.3,3.2656,67.893
0.249166667,29.2,41.199,3.2757,64.285
0.25,30.001,41.134,3.2762,61.453
0.2,30.003,40.226,3.2419,23.977
0.2,18.925,40.249,3.2416,69.559
0.199166667,21.948,41.212,3.2519,64.96
0.199166667,24.146,40.475,3.2524,61.943
0.2,26.528,40.349,3.2526,59.046
0.199166667,29.029,40.229,3.2528,56.295
0.2,30.001,40.739,3.253,53.669
0.149166667,30.003,40.963,3.2118,4.6812
0.15,14.504,40.778,3.2109,68.305
0.15,16.629,40.909,3.2245,64.328
0.15,18.315,41.031,3.2252,61.135
0.15,20.121,41.141,3.2254,58.119
0.15,22.056,40.892,3.2256,55.24
0.15,24.084,40.77,3.226,52.493
0.15,26.243,40.973,3.2261,49.892
0.15,28.525,41.091,3.2261,47.423
0.15,30.002,41.012,3.2264,45.05
0.15,30.003,40.5,3.2264,44.423
0.15,30.003,40.343,3.2266,45.024
0.15,30.004,41.137,3.2268,44.447
0.15,30.002,40.338,3.2273,45.094
0.15,30.003,40.339,3.2269,44.479
0.15,30.004,40.366,3.2269,45.159
0.15,30.004,40.333,3.2268,44.445
0.15,30.002,40.378,3.227,45.213
0.15,30.002,40.74,3.2274,44.467
0.15,30.003,40.343,3.227,45.168
0.1,30.003,40.374,3.2039,1.2435
0.1,13.367,40.167,3.203,56.088
0.1,14.594,40.186,3.213,53.645
0.1,15.988,39.971,3.2138,50.927
0.1,17.447,44.979,3.2143,48.329
0.1,18.968,41.507,3.2147,45.907
0.1,20.58,35.862,3.2151,43.571
0.1,22.288,40.211,3.2151,41.324
0.1,24.073,41.268,3.2154,39.22
0.1,25.948,39.916,3.2156,37.212
0.099166667,27.918,41.096,3.2156,35.315
0.099166667,29.896,42.038,3.2159,33.035
0.1,30.004,39.14,3.216,32.299
0.099166667,30.003,39.558,3.2161,33.309
0.1,30.003,40.957,3.2162,32.099
0.1,29.821,43.509,3.2162,33.285
0.1,30.002,41.001,3.2162,32.379
0.1,30.003,40.635,3.2164,33.438
0.1,30.002,40.9,3.2165,32.127
0.1,29.791,40.632,3.2164,33.813
0.049166667,30.003,40.716,3.0836,0.54073
0.049166667,15.997,40.74,3.0864,29.7
0.05,17.591,40.129,3.0891,27.754
0.05,19.22,40.416,3.0909,25.943
0.05,20.936,40.715,3.0921,24.239
0.05,22.754,40.108,3.093,22.636
0.05,24.693,40.106,3.0938,21.149
0.05,26.755,40.614,3.0943,19.744
0.05,28.957,40.538,3.0948,18.451
0.049166667,30.002,40.645,3.0954,17.223
0.05,28.072,40.798,3.0956,19.009
0.05,30.002,40.786,3.0958,17.74
0.05,30.003,40.652,3.0959,17.468
0.05,29.101,40.104,3.096,18.441
0.05,30.003,40.65,3.0964,17.22
0.049166667,27.788,40.538,3.0962,19.227
0.05,30.003,40.78,3.0964,17.953
0.05,30.002,40.719,3.0968,16.879
0.05,26.52,40.685,3.0967,20.063
0.049166667,28.696,40.652,3.0968,18.726
1.000025,2.003,25.301,3.5393,82.486
0.950033333,2.002,25.108,3.3355,81.748
0.90005,2.002,25.053,3.3337,81.57
0.850066667,2.003,25.357,3.3321,81.495
0.800083333,2.002,26.151,3.3302,81.419
0.750108333,2.002,26.157,3.322,81.073
0.700116667,2.002,25.984,3.3045,80.556
0.650133333,2.001,25.546,3.297,80.166
0.600141667,2.005,26.703,3.294,79.851
0.550166667,2.002,26.407,3.292,79.645
0.5002,2.002,26.244,3.2906,79.439
0.450208333,2.003,26.097,3.289,79.248
0.40025,2.005,25.266,3.2861,78.72
0.350225,2.002,25.559,3.2782,78.082
0.30025,2.003,25.259,3.2631,77.325
0.250291667,2.003,25.849,3.2493,76.356
0.200283333,2.003,25.234,3.2294,75.018
0.150275,2.002,25.286,3.2064,72.711
0.150258333,2.002,25.852,3.2097,73.637
0.100275,2.005,25.718,3.1984,69.672
0.100266667,2.004,25.556,3.2026,71.629
0.100266667,2.003,26.277,3.2052,72.175
0.0502,2.002,25.721,3.0806,57.311
0.050216667,2.003,26.695,3.091,64.792
0.050233333,2.002,26.014,3.0966,65.714
0.000183333,2.004,26.877,2.6621,3.0347
0.000233333,2.002,25.977,2.7286,24.292
0.000191667,2.002,26.508,2.754,23.382
0.000141667,2.004,25.803,2.7718,27.993
1.000025,10.003,10.879,3.4278,70.706
0.950033333,10.003,11.18,3.3366,69.847
0.900058333,10.003,11.339,3.3338,69.19
0.850075,10.002,10.777,3.3314,68.54
0.800083333,10.004,11.19,3.3284,67.85
0.750166667,10.002,11.247,3.322,66.901
0.700166667,10.002,11.018,3.3048,65.67
0.700166667,10.003,10.537,3.3083,66.241
0.650166667,10.002,11.257,3.2948,64.688
0.600083333,10.003,10.632,3.2912,60.448
0.600166667,10.002,11.0,3.2936,63.673
0.550083333,10.003,10.476,3.2891,57.147
0.550083333,10.002,11.203,3.2917,61.722
0.500083333,10.002,10.528,3.2874,53.739
0.5,10.002,11.226,3.2898,59.13
0.5,10.003,10.956,3.2935,59.871
0.5,10.002,11.385,3.2949,60.688
0.450083333,10.002,11.297,3.2853,51.121
0.45,10.002,10.659,3.288,56.616
0.449916667,10.002,10.621,3.2915,57.5
0.45,10.002,11.221,3.2928,58.31
0.4,10.003,10.597,3.2831,48.13
0.400083333,10.002,10.996,3.2858,53.831
0.4,10.002,11.497,3.2895,55.023
0.4,10.003,10.621,3.291,55.861
0.349916667,10.002,10.805,3.2799,44.989
0.349916667,10.002,10.307,3.2832,51.003
0.349916667,10.003,11.56,3.2875,52.369
0.349916667,10.002,11.719,3.2895,53.166
0.299916667,10.003,11.399,3.2723,41.182
0.299916667,10.002,11.206,3.2761,47.642
0.299916667,10.002,10.914,3.2812,49.21
0.299916667,10.003,10.329,3.2831,50.081
0.299916667,10.002,10.67,3.2845,50.624
0.249916667,10.002,11.327,3.2588,36.947
0.25,10.002,10.734,3.2614,44.015
0.249916667,10.003,10.762,3.2665,45.618
0.249833333,10.002,11.383,3.2681,46.489
0.249916667,10.002,10.796,3.2693,47.063
0.199916667,10.003,11.273,3.2398,31.828
0.199916667,10.002,11.691,3.2424,39.933
0.199833333,10.003,11.017,3.2491,41.598
0.199833333,10.002,11.444,3.2524,42.436
0.199916667,10.002,11.023,3.2513,42.937
0.149916667,10.003,10.414,3.2139,25.869
0.149916667,10.002,10.591,3.2162,35.368
0.149833333,10.003,10.366,3.2228,37.075
0.149833333,10.002,10.344,3.225,37.858
0.149916667,10.003,10.658,3.2263,38.489
0.149833333,10.002,11.041,3.2274,38.968
0.099833333,10.003,10.963,3.1989,19.964
0.099916667,10.003,10.825,3.2009,30.946
0.099833333,10.003,10.709,3.2088,32.259
0.099833333,10.002,10.333,3.211,33.075
0.099833333,10.002,10.722,3.2123,33.718
0.099833333,10.003,11.15,3.2135,34.199
0.099833333,10.003,10.912,3.2144,34.653
0.099833333,10.002,10.385,3.2151,35.033
0.049833333,10.002,11.157,3.1425,13.445
0.049916667,10.003,10.988,3.1473,22.528
0.049833333,10.002,10.465,3.1518,24.204
0.049833333,10.003,10.768,3.1548,25.009
0.04975,10.002,10.291,3.1571,25.575
0.04975,10.002,11.234,3.1589,26.03
0.049833333,10.003,10.223,3.1605,26.413
0.049833333,10.002,11.05,3.1621,26.729
-0.00025,10.002,10.509,2.8593,4.367
-0.000166667,10.002,10.576,2.8802,11.042
1.000025,22.318,-19.115,3.5154,22.797
1.000025,21.965,-18.084,3.5133,22.558
1.000025,22.508,-19.069,3.5118,22.346
0.999975,23.702,-17.991,3.5181,22.121
0.999975,24.428,-18.947,3.518,21.804
0.999983333,26.243,-18.571,3.5166,21.486
0.999983333,27.669,-19.015,3.5153,21.175
0.999983333,28.894,-17.99,3.5144,20.878
0.999975,30.002,-18.932,3.5132,20.581
0.999975,30.002,-18.755,3.5114,20.345
0.999983333,30.003,-18.535,3.5093,20.198
0.999975,30.003,-18.67,3.5064,20.058
0.999983333,30.002,-18.822,3.5041,20.014
0.999916667,30.001,-18.321,3.5016,19.952
1.0,30.002,-18.466,3.4995,19.943
1.0,30.002,-18.598,3.4978,19.929
1.0,30.002,-17.939,3.4951,19.889
1.0,30.003,-17.843,3.4928,19.896
0.999916667,30.002,-19.061,3.4908,19.884
1.0,30.002,-17.904,3.4885,19.81
0.95,30.002,-19.26,3.3155,17.412
0.95,30.003,-18.914,3.3184,18.187
0.95,30.002,-18.172,3.3206,18.508
0.9,30.002,-17.778,3.3078,17.543
0.9,30.002,-18.49,3.3122,17.998
0.85,30.002,-18.951,3.302,17.163
0.85,30.002,-18.124,3.3074,17.469
0.8,30.002,-18.039,3.2962,16.554
0.750083333,30.003,-18.613,3.2897,15.83
0.700083333,30.002,-18.023,3.2837,14.807
0.700083333,30.004,-18.733,3.2877,15.308
0.700083333,30.003,-18.091,3.2906,15.6
0.650083333,30.002,-18.008,3.2787,13.28
0.650083333,30.004,-19.069,3.2819,14.265
0.650083333,30.003,-18.184,3.2846,14.702
0.600166667,30.003,-18.495,3.2737,11.949
0.600083333,30.003,-19.03,3.2771,13.149
0.600083333,30.003,-17.863,3.2801,13.622
0.600083333,30.002,-18.784,3.2821,14.048
0.600083333,30.003,-18.933,3.2838,14.308
0.550083333,30.002,-18.258,3.2693,10.959
0.550083333,30.003,-17.886,3.2734,12.243
0.550166667,30.002,-18.003,3.2769,12.911
0.550166667,30.003,-18.234,3.2792,13.333
0.550166667,30.002,-18.107,3.2812,13.586
0.500166667,30.001,-18.07,3.2645,10.14
0.500166667,30.003,-17.991,3.2697,11.295
0.500083333,30.003,-18.309,3.2736,11.979
0.500166667,30.003,-18.355,3.2766,12.4
0.500083333,30.002,-18.87,3.2786,12.73
0.500166667,30.003,-18.627,3.2803,12.969
0.450166667,30.003,-18.097,3.26,9.3728
0.450166667,30.004,-19.033,3.2661,10.396
0.450166667,30.003,-18.724,3.2706,11.01
0.450166667,30.002,-18.912,3.2737,11.453
0.450166667,30.003,-18.328,3.2762,11.813
0.400166667,30.003,-18.737,3.2544,8.691
0.400166667,30.002,-18.823,3.262,9.4026
0.400166667,30.003,-18.67,3.2667,9.9271
0.400166667,30.003,-18.143,3.2703,10.382
0.400166667,30.003,-17.812,3.273,10.703
0.400166667,30.003,-18.818,3.2749,11.033
0.400166667,30.002,-19.067,3.2768,11.244
0.350166667,30.003,-18.803,3.2475,8.0185
0.35025,30.002,-18.288,3.2565,8.477
0.350166667,30.003,-19.168,3.2622,8.9092
0.350166667,30.005,-18.965,3.2656,9.2812
0.350166667,30.003,-18.006,3.2683,9.6296
0.350166667,30.003,-18.394,3.2706,9.897
0.350166667,30.004,-18.99,3.2725,10.136
0.350166667,30.004,-18.448,3.2739,10.327
0.350166667,30.004,-17.959,3.2753,10.517
0.300166667,30.002,-19.158,3.2372,7.3976
0.300166667,30.003,-18.241,3.2477,7.5916
0.300166667,30.004,-18.995,3.2563,7.9036
0.30025,30.001,-19.18,3.258,8.1929
0.30025,30.004,-18.072,3.2607,8.492
0.300166667,30.003,-18.295,3.2631,8.7562
0.30025,30.002,-18.275,3.2648,8.981
0.300166667,30.003,-18.586,3.2664,9.1775
0.25025,30.004,-18.946,3.2164,6.8377
0.250166667,30.004,-18.975,3.2362,6.7499
0.200166667,27.926,-19.123,3.1546,5.9733
0.20025,30.001,-18.781,3.208,5.9078
0.20025,30.002,-18.152,3.2171,5.8246
1.000016667,10.002,1.5272,3.4831,60.544
1.000016667,10.002,0.40469,3.4825,60.57
1.000025,10.002,0.83118,3.4817,60.325
0.999975,10.002,0.75752,3.485,60.149
0.95,10.003,1.0193,3.3347,56.902
0.900016667,10.002,0.60622,3.3303,53.83
0.900008333,10.002,1.3718,3.3328,55.38
0.849966667,10.003,1.5067,3.327,54.556
0.8,10.002,1.4498,3.3226,51.186
0.8,10.003,1.2044,3.3278,53.064
0.75,10.002,1.5856,3.3146,50.414
0.75,10.002,1.0206,3.322,52.016
0.7,10.002,1.6348,3.2998,48.746
0.699916667,10.003,1.6825,3.304,50.466
0.649916667,10.002,1.2205,3.2902,46.219
0.649916667,10.002,0.87608,3.2929,48.474
0.599833333,10.003,0.88675,3.2861,42.619
0.599916667,10.002,1.6366,3.2889,46.182
0.599916667,10.003,1.6636,3.2936,46.913
0.599833333,10.001,1.1559,3.2949,47.438
0.549833333,10.003,0.99754,3.2834,39.78
0.549916667,10.003,1.6764,3.2864,44.041
0.549833333,10.002,1.9178,3.2905,45.025
0.549833333,10.002,1.6837,3.292,45.722
0.499916667,10.002,1.2374,3.2808,37.702
0.499833333,10.002,1.8879,3.2837,42.157
0.49975,10.002,2.1359,3.2879,43.362
0.49975,10.002,1.9833,3.2897,44.146
0.499833333,10.002,1.9276,3.2909,44.61
0.449833333,10.002,1.2026,3.2781,36.018
0.44975,10.003,1.3398,3.2817,40.492
0.44975,10.002,1.8215,3.2859,41.781
0.44975,10.002,1.2882,3.2876,42.572
0.449833333,10.003,1.9489,3.289,43.061
0.399833333,10.003,1.2843,3.2754,33.946
0.399833333,10.002,1.5183,3.2793,38.397
0.39975,10.002,1.2581,3.2842,39.797
0.39975,10.003,1.074,3.2859,40.647
0.39975,10.002,2.0211,3.2874,41.199
0.34975,10.003,1.7197,3.2716,31.596
0.349833333,10.002,1.2033,3.2766,36.111
0.34975,10.003,2.2007,3.282,37.652
0.34975,10.002,1.1831,3.2842,38.586
0.349666667,10.002,1.5554,3.286,39.18
0.34975,10.002,1.9117,3.2871,39.588
0.29975,10.003,1.7416,3.2656,28.973
0.29975,10.002,1.9894,3.2704,33.606
0.29975,10.003,1.2121,3.2765,35.255
0.299666667,10.002,2.3336,3.2792,36.199
0.299666667,10.002,1.2813,3.2809,36.844
0.29975,10.003,1.6439,3.2826,37.32
0.249666667,10.002,2.3146,3.2541,25.86
0.24975,10.002,1.2476,3.258,30.631
0.249666667,10.002,1.4736,3.2638,32.342
0.249666667,10.002,2.3616,3.2658,33.309
0.24975,10.001,1.8967,3.2675,33.991
0.249666667,10.002,1.6948,3.2686,34.49
0.249666667,10.003,1.3288,3.2695,34.897
0.19975,10.003,2.1811,3.2358,22.359
0.19975,10.002,1.994,3.2393,27.374
0.199666667,10.002,1.2696,3.2455,29.202
0.199666667,10.002,2.0319,3.2477,30.168
0.199666667,10.002,1.4395,3.2494,30.87
0.199666667,10.002,1.2039,3.2506,31.398
0.199666667,10.003,1.6129,3.2516,31.813
0.199666667,10.002,1.9302,3.2523,32.157
0.149666667,10.002,1.914,3.2111,18.869
0.14975,10.002,1.4577,3.2144,23.909
0.149583333,10.003,2.0907,3.2209,25.794
0.149583333,10.003,2.1497,3.2234,26.761
0.149666667,10.002,2.2942,3.225,27.458
0.149583333,10.003,2.2829,3.2263,27.961
0.149666667,10.002,2.0325,3.2273,28.41
0.149666667,10.002,2.3731,3.2283,28.769
0.099666667,10.002,2.1763,3.1922,15.884
0.099666667,10.002,1.4082,3.1965,20.031
0.099583333,10.003,1.3264,3.2044,21.821
0.099666667,10.003,2.176,3.2071,22.7
0.099583333,10.003,2.2115,3.2088,23.369
0.099583333,10.002,2.0083,3.2103,23.897
0.099666667,10.002,1.4917,3.2113,24.325
0.099666667,10.002,2.0244,3.212,24.685
0.049666667,10.002,1.7925,3.1285,12.149
0.049583333,10.002,1.6744,3.1432,14.889
0.049583333,10.002,0.7412,3.1499,16.434
0.049583333,10.002,1.0702,3.1539,17.283
0.049583333,10.002,1.7139,3.1569,17.863
0.049583333,10.003,1.2044,3.1592,18.303
0.049583333,10.002,1.4475,3.1611,18.65
0.049583333,10.002,1.129,3.1627,18.965
0.049583333,10.003,1.3783,3.1642,19.219
0.049583333,10.002,1.4962,3.1653,19.462
-0.000416667,10.002,1.4425,2.8012,6.0773
-0.000416667,10.002,1.5233,2.8579,6.9649
-0.000416667,10.001,1.6497,2.875,7.8489
-0.0005,10.002,1.2783,2.8854,8.3137
-0.000416667,10.002,1.9121,2.8926,8.645
-0.000416667,10.002,0.85095,2.8982,8.905
-0.000416667,10.002,1.2193,2.9026,9.1277
1.000016667,10.002,39.756,3.4768,82.908
0.950041667,10.003,40.81,3.339,82.804
0.900058333,10.001,40.271,3.3376,82.498
0.850066667,10.003,40.889,3.3366,82.24
0.800058333,10.003,40.87,3.3355,82.053
0.750083333,10.003,40.053,3.3336,81.914
0.750083333,10.002,40.221,3.3359,81.316
0.700083333,10.002,39.853,3.3164,81.389
0.650083333,10.002,39.979,3.3042,80.582
0.600083333,10.002,40.226,3.3012,79.906
0.550083333,10.002,39.98,3.2997,79.254
0.500166667,10.002,40.748,3.2985,78.713
0.450166667,10.003,40.243,3.2977,78.24
0.400166667,10.002,40.903,3.2967,77.733
0.350166667,10.002,40.782,3.2893,76.892
0.30025,10.002,40.178,3.2795,75.569
0.25025,10.001,40.909,3.2649,73.324
0.25025,10.002,40.041,3.2674,74.092
0.200166667,10.002,40.735,3.2473,70.541
0.200166667,10.002,40.052,3.2499,71.743
0.15025,10.003,40.646,3.2249,66.048
0.15025,10.003,40.434,3.2255,70.403
0.150083333,10.002,41.064,3.2307,69.479
0.100166667,10.001,40.749,3.214,49.279
0.100166667,10.002,39.935,3.2141,71.974
0.100166667,10.002,40.216,3.2197,66.643
0.100166667,10.003,40.312,3.2201,67.465
0.050083333,10.003,40.665,3.1564,23.346
0.050166667,8.275,39.918,3.1583,57.009
0.050083333,9.379,40.225,3.1609,53.849
0.050166667,10.003,40.886,3.1629,50.856
0.050083333,10.002,40.252,3.1642,49.653
0.050083333,10.003,40.873,3.165,50.206
0.000166667,10.003,40.014,2.9109,1.5361
1.000016667,2.002,-19.013,3.469,31.443
1.000025,2.002,-18.986,3.4727,32.298
0.999975,2.003,-18.161,3.4759,31.71
0.999975,2.002,-18.068,3.4787,31.48
0.999975,2.003,-18.774,3.4806,31.208
0.999975,2.002,-18.171,3.4839,31.024
0.949991667,2.003,-17.68,3.314,27.983
0.95,2.003,-18.871,3.3199,28.732
0.900008333,2.002,-18.528,3.3017,26.312
0.900008333,2.003,-18.427,3.3101,26.956
0.899966667,2.002,-18.972,3.3138,27.417
0.899966667,2.001,-17.949,3.3166,27.77
0.899975,2.002,-17.82,3.3185,28.029
0.849983333,2.003,-17.931,3.2925,25.444
0.849991667,2.003,-17.924,3.3006,26.205
0.849941667,2.002,-18.066,3.3046,26.692
0.84995,2.003,-17.918,3.308,27.049
0.849941667,2.003,-19.249,3.311,27.314
0.799966667,2.002,-18.405,3.2837,24.388
0.799958333,2.003,-18.74,3.2914,25.149
0.799916667,2.003,-18.933,3.2949,25.692
0.799925,2.003,-18.936,3.2978,26.1
0.799916667,2.004,-18.066,3.3002,26.426
0.749941667,2.002,-18.684,3.2761,22.881
0.749941667,2.002,-17.881,3.283,23.947
0.7499,2.002,-19.266,3.2863,24.703
0.749891667,2.002,-18.124,3.2886,25.068
