SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,SHAP_test,fold
SOC_100,0.9998703309423077,12.412769230769227,16.405054807692306,4.183234615384615,0.05811113500000001,1.3653846153846154,78.4218076923077,12.954943750791005,2.318747617943949,21.69170274130511,8.135316850830009,4.4165197084198455,2.344820227505912,3.0
SOC_95,0.9499446949692308,12.587153846153846,14.032538153846154,4.065567692307692,0.5551498202923076,1.2923076923076924,78.20555384615383,16.37210829477306,1.9146690248335139,18.081307156961703,11.213758432915846,6.125806278265722,1.709835571514843,3.0
SOC_90,0.8999719605471698,13.700603773584906,14.541602830188683,4.035858490566038,0.6562717559433963,1.3773584905660377,82.12824528301887,16.52038790419045,1.8294752467803232,17.958338552227953,9.591592781163053,6.227312085359446,1.9028324678235111,3.0
SOC_80,0.7999843543617022,13.662148936170212,14.64336936170213,3.9391723404255305,0.8270484017234043,1.425531914893617,79.39665957446809,14.143244754517564,1.8015522606609682,18.655501708699397,7.123526684229331,5.991823052071559,1.943104367250245,3.0
SOC_70,0.7000093433571429,13.145595238095238,14.895851904761903,3.8428714285714287,0.918231171952381,1.4761904761904763,76.39999999999999,11.777899018229606,2.1489487194264907,20.347116218372623,5.141618237387073,4.871696898271555,2.0642888295707587,3.0
SOC_60,0.5999978439074075,16.891462962962958,14.955913148148149,3.7585888888888883,0.7447052935,1.3703703703703705,64.07366666666665,7.1004470262217065,2.184956671174905,21.74794171081717,3.100134548210017,3.629986949624074,1.8448435370202816,3.0
SOC_50,0.4999938739400001,16.96238,14.404563000000001,3.667332,0.80619559878,1.4,59.142119999999984,4.286286460635974,2.4104644142667295,20.694947289347116,1.7708735185027007,3.418394309166034,2.359558554839622,3.0
SOC_40,0.3999738181698113,17.172792452830187,13.71604358490566,3.5884735849056604,0.7564739943773586,1.3773584905660377,51.13769999999999,5.051430023427072,2.56956251468437,19.171747621405657,3.1741017810803545,3.0188087268076225,2.891500655707336,3.0
SOC_30,0.29984356134482754,17.450862068965513,13.524477068965519,3.515203448275862,0.6969186600000001,1.3448275862068966,39.24763793103448,10.0862409181199,2.5645747288897156,17.843658781183514,7.44956027526563,3.3693187133232803,3.1383674825662906,3.0
SOC_20,0.1999914376551724,16.14018965517241,12.719153275862068,3.4234948275862065,0.7184800717068964,1.3448275862068966,26.92876724137931,21.380861702699796,2.553904982526397,13.718496180159628,12.175096272692159,2.7343748194732,3.2707831690277995,3.0
SOC_15,0.14999969261538462,16.498169230769232,12.692021846153848,3.376298461538462,0.6131316522307693,1.2923076923076924,18.578351846153847,27.81054185302665,2.282147658841828,11.415986916524282,14.543510705951977,1.9406056818604658,3.298503752224273,3.0
SOC_10,0.10002153183720928,14.875093023255811,14.725344418604653,3.267774418604651,0.5841566366976744,1.4186046511627908,14.498703023255812,36.880210178047705,2.29775508076827,11.738042399654853,15.839719095369501,1.732449193990439,3.4352596543513525,3.0
SOC_5,0.04998857561111111,11.551333333333336,20.688188888888888,3.116422222222222,0.1962121208888889,1.5,11.605945,39.62774687232431,2.1667989108254875,14.784389287077971,18.61480239760137,1.994421366896293,2.724207472888843,3.0
SOC_2,0.01999759457142857,8.85957142857143,19.67797142857143,3.2671571428571426,0.0,2.0,15.552785714285715,34.78780985401935,1.1271593912148714,16.951158465070517,16.22169756554849,2.8575934747831444,3.964487074916252,3.0
