SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_Current(A),SHAP_AvgCurrent_5s,SHAP_AvgCurrent_10s,SHAP_AvgCurrent_20s,SHAP_AvgCurrent_50s
1.00001,10.004,10.591,4.1968,0,0,0,0.102128125,0.060255286,105.77,10.52761074,0.096361902,23.09362289,20.81627248,0,0,0,0.859465544,2.404216487
1.00001,2.003,25.984,4.1951,0,0,0,0.122609091,0.083328451,114.47,9.407774362,2.684539745,30.8863139,18.61345335,0,0,0,0.340000243,4.240071758
1.00001,30.003,1.6505,4.1987,0,0,0,0.095775,0.054347812,99.649,14.89239424,-1.004359463,18.94022212,17.90367618,0,0,0,1.088463703,-0.66697376
1.00001,2.001,11.12,4.1944,0,0,0,0.115979063,0.070863188,107.04,9.671043313,2.787479103,23.32091205,20.04846638,0,0,0,0.421725196,4.138077634
1.00001,2.002,40.533,4.1851,0,0,0,0.500366667,0.410035676,117.2,9.23387461,2.799294309,32.94975211,18.28742439,0,0,0,1.147646921,4.393944749
1.00001,10.002,1.1173,4.1984,0,0,0,0.094427273,0.049207606,99.208,15.02366237,0.950813131,17.02394407,17.66094179,0,0,0,1.135832386,-1.451829198
1.000006667,10.002,40.249,4.1909,0,0,0,0.206903448,0.182707857,113.79,8.620112056,1.355730884,33.37035309,17.15185367,0,0,0,1.603303037,4.206418663
1.000006667,10.003,-8.4805,4.1932,0,0,0,0.104952667,0.057347206,73.486,13.45671664,-0.078185016,-0.222905163,18.09614379,0,0,0,1.243005713,-5.041364547
1.000006667,30.003,-18.221,4.1912,0,0,0,0.095797879,0.060906,38.303,8.688577293,-1.22183616,-27.75804556,14.34897971,0,0,0,-0.053719459,-2.788823561
1.000006667,30.003,-18.221,4.1912,0,0,0,0.095797879,0.060906,38.303,8.688577293,-1.22183616,-27.75804556,14.34897971,0,0,0,-0.053719459,-2.788823561
1.000006667,30.001,40.09,4.1931,0,0,0,0.214278571,0.262133226,112,8.921010159,-0.704187015,32.01350692,18.13595012,0,0,0,1.82043936,4.233712023
1.000006667,30.003,26.039,4.1922,0,0,0,0.111111111,0.196381475,109.31,9.370539298,-1.644238958,30.73710404,18.52246079,0,0,0,0.601133437,4.595571224
1.000006667,2.002,26.017,4.1954,0,0,0,0.500027778,0.26881589,114.56,8.923278486,2.757212076,31.10764272,18.16071899,0,0,0,1.01362049,4.46276349
1.000006667,10.002,25.692,4.1977,0,0,0,0.097475152,0.059488451,110.87,9.469839142,1.302012625,31.31177833,18.71562368,0,0,0,0.719290555,1.809411521
1.000006667,10.003,25.53,4.1413,0,0,0,0.214278571,1.032484286,110.97,8.282134785,1.326899016,28.76631921,19.16920291,0,0,0,2.372505115,3.547848066
1.000006667,2.001,40.352,4.1846,0,0,0,0.107146429,0.267251268,117.15,9.524495971,2.727353653,33.40290068,17.96909683,0,0,0,0.822945247,4.375299386
1.000006667,30.002,11.461,4.1989,0,0,0,0.09904871,0.058933651,103.93,13.44280927,-1.614078132,25.92893205,16.61502585,0,0,0,0.48833043,2.059364155
1.000003333,10.003,-18.434,4.1975,0,0,0,0.0081075,0.007145797,37.28,8.576315198,0.012812713,-22.57443179,13.98047945,0,0,0,-1.033695618,-9.370005743
1.000003333,2.003,-7.6553,4.1939,0,0,0,0.009250625,0.01106,75.25,11.05710983,2.167640976,-1.243974883,15.34911795,0,0,0,-2.149668315,-11.0567448
1.000003333,30.003,-8.1392,4.1994,0,0,0,0.005288438,0.005504219,79.748,17.1595907,-0.740905807,3.16252212,18.25680394,0,0,0,1.433957472,-8.008302642
1.000003333,30.003,-8.1392,4.1994,0,0,0,0.005288438,0.005504219,79.748,17.1595907,-0.740905807,3.16252212,18.25680394,0,0,0,1.433957472,-8.008302642
1,2.002,1.0467,4.1969,0,0,0,0.007075,0.009213623,100.38,10.33097038,2.573491309,13.6443744,17.67590953,0,0,0,1.152226256,-12.57632581
1,2.002,-17.519,4.1952,0,0,0,0.010046562,0.007985217,37.93,8.652838489,1.592438497,-22.68497777,13.83218306,0,0,0,-1.417955025,-9.159931793
0.999996667,10.003,-18.284,4.1978,0,0,0,0.000766364,0.001170282,36.751,8.747953788,0.035862607,-23.3513067,14.10700266,0,0,0,0.393794635,-11.07226238
0.999993333,23.346,0.89952,4.199,0,0,0,0.038223056,0.020240548,0,2.347134393,-8.557254695,-17.97117037,3.384681411,0,0,0,-5.791646636,-17.8236678
0.999993333,2.001,25.999,4.1961,0,0,0,0.004444,0.087763667,112.7,8.549048932,2.875033967,31.58782272,17.96468637,0,0,0,0.228924624,4.162549527
0.999993333,2.002,-19.24,4.1882,0,0,0,0,0,30.424,6.928090345,2.606574325,-23.84950112,12.07261571,0,0,0,-4.161199368,-11.26096698
0.99999,10.004,-17.572,4.1981,0,0,0,0.000344333,0.002845333,36.19,7.815327623,-0.215763182,-22.02648824,13.25977812,0,0,0,-1.531792969,-9.270181099
0.99999,2.004,40.381,4.1865,0,0,0,0.05484129,0.950664426,115.28,9.134677225,1.703876559,33.11935939,18.12447411,0,0,0,1.607176088,3.420313383
0.99999,2.003,-19.469,4.1888,0,0,0,0,0,29.267,6.991236308,2.425184307,-23.97030272,12.23979226,0,0,0,-4.302771235,-11.32412812
0.99999,2.002,-18.723,4.189,0,0,0,0,0,28.462,7.159429512,2.636821243,-24.51930813,11.73898349,0,0,0,-4.207269992,-11.32650781
0.999893333,2.002,-18.987,4.1869,0,0,0,0,0,31.46,7.318190251,2.644971978,-24.24010157,12.48269578,0,0,0,-4.155508541,-11.21142374
0.99984,2.002,-8.6702,4.1773,0,0,0,0,0,60.736,11.15947496,3.167205409,-0.046951844,16.10971401,0,0,0,-4.875528962,-11.08231148
0.999693333,10.003,-18.348,4.1942,0,0,0,0,0,24.098,6.981559588,-0.313165881,-24.10404778,11.85855751,0,0,0,-5.185106386,-11.52941424
0.99962,10.003,-7.8549,4.1686,0,0,0,0,0,53.278,10.56126565,-0.445919302,-0.057220302,15.27959719,0,0,0,-6.499573351,-11.66971887
0.998856667,30.001,-8.4896,4.1815,0,0,0,0,0,61.768,12.43511615,-0.792681004,0.609568442,16.83845234,0,0,0,-5.496402269,-10.92594095
0.997816667,30.003,-18.496,4.1803,0,0,0,0,0,27.158,8.250290346,-1.110606506,-24.01093261,12.43161389,0,0,0,-4.584721548,-11.12242294
0.997453333,30.003,-18.444,4.1862,0,0,0,0,0,26.804,8.245346805,-1.124251938,-24.08195188,12.64493944,0,0,0,-4.614863935,-11.05383133
0.950013333,10.003,-8.4938,4.0767,0,0,0,0,0,57.463,11.71328364,-0.415488265,0.001840879,15.41052154,0,0,0,-5.582232622,-10.58933539
0.95001,10.002,1.6218,4.0864,0,0,0,0.214282143,1.296128571,100.44,10.91046582,1.170462118,16.63438162,19.76385648,0,0,0,1.705003677,3.524220944
0.95001,10.002,1.0574,4.0941,0,0,0,0.214267857,0.163907778,102.22,11.39505841,1.118520085,14.8665053,20.50902969,0,0,0,1.636442589,3.817500863
0.950006667,30.005,11.499,4.0981,0,0,0,0.214282143,1.621887097,104.4,9.701384669,-2.074279293,23.5583234,20.32953568,0,0,0,1.669290708,3.347923768
0.950006667,2.002,-9.6907,4.0781,0,0,0,0,0,67.767,12.35314795,3.847386703,1.220048245,15.73014207,0,0,0,-4.318753935,-9.798789768
0.950006667,2.003,0.96689,4.0757,0,0,0,0.214285714,0.740135714,101.79,11.86870221,2.730245779,14.97172146,19.1127532,0,0,0,1.253666249,4.907762433
0.950003333,2.003,-8.4618,4.0758,0,0,0,0,0,68.658,12.75433275,3.808128025,1.178778276,15.94588188,0,0,0,-5.00922312,-9.755672029
0.950003333,10.003,25.935,4.0857,0,0,0,0.214282143,1.841280952,110.33,8.23915748,0.798049052,29.65313284,17.03538966,0,0,0,1.500547321,3.291807272
0.950003333,10.003,39.789,4.1011,0,0,0,0.214282143,1.840798413,112.94,8.527961174,0.92407799,31.09823005,18.33978956,0,0,0,1.769621155,3.793328225
0.950003333,2.004,10.717,4.0821,0,0,0,0.214285714,0.797052174,106.87,9.605557706,2.05999284,21.16543814,18.50668345,0,0,0,1.748695807,3.708798491
0.950003333,10.003,-7.926,4.0886,0,0,0,0.214278571,0.157658028,90.534,15.52056163,0.649550626,1.583157069,20.19411712,0,0,0,3.446670538,3.145547386
0.95,30.004,-18.217,4.0796,0,0,0,0.222218519,0.853705738,50.358,10.4844546,-1.134609421,-24.80162635,14.36687795,0,0,0,1.29386575,2.632254025
0.95,30.003,-9.3104,4.1355,0,0,0,0.063956774,0.558328033,96.511,17.55445084,-0.947518682,1.072965453,23.16478233,0,0,0,2.97858498,3.972977588
0.95,30.003,40.31,4.1019,0,0,0,0.214285714,1.655144828,111.04,9.138690252,-1.725444072,31.91657962,18.8090169,0,0,0,1.58768464,3.925624073
0.95,10.003,-7.8865,4.0801,0,0,0,0.214303571,0.871569118,82.427,14.58926801,0.369311606,0.941720044,17.72623678,0,0,0,1.42790229,2.793592398
0.95,30.003,-9.3104,4.1355,0,0,0,0.063956774,0.558328033,96.511,17.55445084,-0.947518682,1.072965453,23.16478233,0,0,0,2.97858498,3.972977588
0.95,30.004,-18.217,4.0796,0,0,0,0.222218519,0.853705738,50.358,10.4844546,-1.134609421,-24.80162635,14.36687795,0,0,0,1.29386575,2.632254025
0.95,2.002,-8.4607,4.0702,0,0,0,0.201501212,0.484116143,92.261,15.7724532,2.458666499,1.35854039,19.14406027,0,0,0,1.908062691,3.275337479
0.95,30.001,25.249,4.098,0,0,0,0.214278571,1.655146552,108.66,9.171455708,-0.784886845,26.78680482,20.21693515,0,0,0,1.988818478,3.776195548
0.95,2.001,-7.6663,4.0587,0,0,0,0.214282143,0.692833333,87.184,14.57318775,2.013984236,-0.50792289,18.01662468,0,0,0,2.070410521,4.075501392
0.949996667,30.004,-8.8921,4.0942,0,0,0,0.111107407,1.149711475,84.735,16.34846622,-1.528753268,-0.060547709,20.91892435,0,0,0,0.943954371,2.975482489
0.949996667,30.004,-8.8921,4.0942,0,0,0,0.111107407,1.149711475,84.735,16.34846622,-1.528753268,-0.060547709,20.91892435,0,0,0,0.943954371,2.975482489
0.949993333,2.002,-17.666,4.0506,0,0,0,0.211954688,0.385314714,54.454,10.92281872,1.911287336,-25.42199657,14.86953855,0,0,0,1.950068251,2.735552181
0.949993333,30.002,-9.6513,4.1124,0,0,0,0.214285714,0.166959839,93.04,16.78752062,-0.894988498,1.106109528,21.9829122,0,0,0,2.833155542,3.719818935
0.949993333,2.003,-17.869,4.0733,0,0,0,0,0,34.935,9.425701509,3.311093439,-23.60427089,12.26201806,0,0,0,-3.635386585,-10.23253168
0.949993333,2.002,-18.56,4.0705,0,0,0,0,0,35.437,9.106291115,3.356841242,-24.35230256,12.1259136,0,0,0,-3.559604454,-10.20100395
0.949993333,30.002,-9.6513,4.1124,0,0,0,0.214285714,0.166959839,93.04,16.78752062,-0.894988498,1.106109528,21.9829122,0,0,0,2.833155542,3.719818935
0.94999,10.003,11.426,4.091,0,0,0,0.111111111,1.732890476,106,9.671316149,0.933800018,23.68988121,20.10997548,0,0,0,0.572780018,3.960019853
0.94999,10.003,-18.439,4.066,0,0,0,0.2143,0.576044928,50.267,10.43031282,0.201953836,-25.51510986,14.25457446,0,0,0,1.533505628,2.52282084
0.94999,10.003,-17.253,4.0794,0,0,0,0.2143,0.158774857,53.892,10.84718156,0.457350959,-24.21669331,14.48162612,0,0,0,1.682147026,2.536507261
0.94999,10.003,-18.225,4.085,0,0,0,0.103451724,0.084979143,56.741,11.46185976,0.561633816,-24.91178865,16.58433586,0,0,0,1.50372476,2.435183307
0.94999,2.002,-17.366,4.0285,0,0,0,0.111107407,0.634904348,50.382,11.51541959,1.624861288,-25.58491174,14.51600848,0,0,0,0.671678287,2.345636503
0.949986667,2.003,39.894,4.0961,0,0,0,0.214282143,0.78564,113.93,8.92079026,2.690689926,31.26885612,17.93547197,0,0,0,1.343395823,4.076551463
0.949986667,10.002,-8.1267,4.1049,0,0,0,0.067463333,1.174845,97.732,17.00566771,1.488648306,1.668396548,22.74875099,0,0,0,2.270050704,3.407847849
0.949986667,2.002,25.164,4.0927,0,0,0,0.214285714,0.785714286,111.68,9.045092495,2.644674465,27.47973923,19.41315135,0,0,0,1.023398601,4.39898083
0.949986667,2.003,-8.3539,4.0808,0,0,0,0,0,61.973,12.50513968,3.60229086,0.454239729,15.1762592,0,0,0,-5.287039102,-10.4756723
