SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
SOC_100,1.0000000386428571,10.858999999999998,11.494566428571428,4.163514285714285,0.0,93.37235714285715,16.65566062927246,0.6138572096824646,11.86911678314209,8.279934883117676,2.1250860691070557,3.0
SOC_95,0.9502942443076923,9.386538461538464,11.20306846153846,3.982161538461539,2.297657578846154,92.72192307692306,15.535229682922363,0.6038708090782166,9.486156463623047,5.856076717376709,2.7200419902801514,3.0
SOC_90,0.9002588505000002,10.859214285714282,12.605817857142862,3.965049999999999,2.103069314642857,92.85300000000001,15.279610633850098,0.5674178004264832,10.17431354522705,5.811009407043457,2.8368332386016846,3.0
SOC_80,0.8003169990000002,10.859642857142859,12.615197142857147,3.8714428571428567,2.4286274679999997,90.78600000000002,14.398426055908203,0.6236831545829773,10.015084266662598,5.286492824554443,2.8771631717681885,3.0
SOC_70,0.7003230299285716,10.859714285714288,12.63242142857143,3.7911642857142853,2.428520275285714,88.41235714285716,12.431394577026367,0.6720312237739563,10.428853034973145,4.610790729522705,3.2198097705841064,3.0
SOC_60,0.6003173977142855,10.859071428571426,12.746000714285714,3.704478571428571,2.4253987959285714,85.30807142857144,11.019400596618652,0.6454030871391296,10.718756675720215,3.7790780067443848,3.5599639415740967,3.0
SOC_50,0.5003197879285713,10.858999999999998,12.597899285714288,3.6170785714285705,2.4663198538571423,81.60107142857142,9.365291595458984,0.5297880172729492,9.452098846435547,2.7066614627838135,3.905474901199341,3.0
SOC_40,0.4003149307857141,10.859142857142851,12.623201428571424,3.5418285714285713,2.4284879505,76.99857142857147,7.178043365478516,0.7185620069503784,11.037040710449219,2.5324478149414062,4.515392303466797,3.0
SOC_30,0.30030665871428575,10.8595,12.721722142857141,3.4750071428571423,2.428665374,70.52671428571429,4.431945323944092,0.7227786183357239,11.546855926513672,3.7535879611968994,4.728264331817627,3.0
SOC_20,0.20029643214285714,10.859500000000002,12.829716428571427,3.3908857142857136,2.418402318142857,56.861714285714285,8.609262466430664,0.750634491443634,11.591266632080078,6.647932529449463,4.613020896911621,3.0
SOC_15,0.15035384784615385,9.38676923076923,11.859792307692308,3.339753846153846,2.3012844688461542,43.08850769230769,19.65674591064453,0.6337338089942932,11.248396873474121,7.56524133682251,4.429928302764893,3.0
SOC_10,0.10022250269230767,10.92546153846154,13.53489846153846,3.265430769230769,1.5385635531538462,27.581392307692308,34.2041015625,0.7859820127487183,10.831950187683105,8.394245147705078,3.9870493412017822,3.0
SOC_5,0.050003461625,9.00225,17.4815875,3.271225,0.23809589287499996,19.636962500000003,36.498870849609375,0.854443371295929,14.069025039672852,9.966949462890625,3.3909201622009277,3.0
SOC_2,0.01999759457142857,8.85957142857143,19.677971428571425,3.267157142857142,0.0,15.552785714285717,36.44436264038086,0.9738106727600098,13.675460815429688,13.049992561340332,3.648409605026245,3.0
