SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W),SOP(W)_real
0.400000111,10.001,-7.2224,3.561,0.0,0.0,0.0,0.0,0.0,0.2901673314313768,35.365
0.300000111,10.003,-7.37,3.5104,0.0,0.0,0.0,0.0,0.0,0.18616435034118892,24.815
0.200000111,10.003,-7.2705,3.4607,0.0,0.0,0.0,0.0,0.0,0.10798959773027049,16.885
0.149978267,10.002,-7.2743,3.4322,0.0,0.0,0.0,0.0,0.0,0.07342709045991991,13.379
0.100000111,10.003,-7.201,3.4051,0.0,0.0,0.0,0.0,0.0,0.04841708448590982,10.842
0.049978267,10.002,-7.2905,3.3759,0.0,0.0,0.0,0.0,0.0,0.024499356265908517,8.4158
0.019965161,10.002,-7.1039,3.3479,0.0,0.0,0.0,0.0,0.0,0.011902672925904528,7.138
1.000000086,10.001,1.2544,4.1379,0.0,0.0,0.0,0.0,0.0,0.7821556515515667,85.272
0.94999802,10.003,2.8248,4.0639,0.0,0.0,0.0,0.0,0.0,0.7845215961450875,85.512
0.900000086,10.001,2.8199,4.0117,0.0,0.0,0.0,0.0,0.0,0.7818894827847956,85.245
0.799995953,10.003,2.87,3.9015,0.0,0.0,0.0,0.0,0.0,0.7649335465312295,83.525
0.699995953,10.002,2.8241,3.8139,0.0,0.0,0.0,0.0,0.0,0.7449807471258703,81.501
0.599995953,10.003,2.7072,3.7191,0.0,0.0,0.0,0.0,0.0,0.7198130115122919,78.948
0.499979419,10.001,2.778,3.6384,0.0,0.0,0.0,0.0,0.0,0.6817705940689712,75.089
0.39999182,10.003,2.8287,3.5792,0.0,0.0,0.0,0.0,0.0,0.5509831485596327,61.822
0.30000422,10.003,2.7227,3.519,0.0,0.0,0.0,0.0,0.0,0.36795761804584803,43.256
0.199975286,10.002,2.8426,3.4506,0.0,0.0,0.0,0.0,0.0,0.20628473748858928,26.856
0.150002153,10.002,2.8281,3.4203,0.0,0.0,0.0,0.0,0.0,0.14427727293339668,20.566
0.099987686,10.003,2.3884,3.3904,0.0,0.0,0.0,0.0,0.0,0.09585427358600307,15.654
0.049973219,10.003,2.7543,3.3495,0.0,0.0,0.0,0.0,0.0,0.05262649424188234,11.269
0.020005873,10.002,2.6979,3.3119,0.0,0.0,0.0,0.0,0.0,0.03221529307152841,9.1985
