SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s,SOP(W)
0.100003884,10.002,12.579,3.3584,0,0,0,0,0,18.29
0.050001953,10.002,12.841,3.2806,0,0,0,0,0,11.663
0.020000795,10.002,12.888,3.1818,0,0,0,0,0,8.1414
0.95069791,10.002,1.7753,3.8583,5.9983,5.998583333,5.998754545,5.998809524,3.961562264,99.404
0.700758836,10.002,3.2448,3.6921,6.0002,6.000716667,6.000772727,6.000766667,6.000819608,95.229
0.500783209,10.002,2.9739,3.5264,6.0016,6.000733333,6.00072,6.00082,6.000835294,89.703
0.400779733,10.002,3.147,3.4327,6.0002,6.00058,6.000754545,6.000865,6.000594,86.01
0.200772781,10.002,4.0431,3.2474,6.0013,6.000566667,6.000772727,6.000745,6.00064902,60.92
0.150997298,10.002,3.3451,3.199,6.0005,6.0007,6.000681818,6.000861905,4.302573585,42.317
0.951268758,10.002,2.4254,3.6991,12.001,12.00066667,12.00063636,8.87,3.849245283,99.152
0.901256579,10.002,2.9945,3.7104,12,11.99983333,12.00172727,8.871478261,3.849886792,98.906
0.801347085,10.002,3.9957,3.6255,12.001,12.00133333,12.00154545,12.00166667,12.00201961,97.206
0.601343612,10.002,4.5069,3.4859,12.002,12.00183333,12.00181818,12.00195238,12.00202,92.319
0.501305325,10.002,4.2512,3.39,12.002,12.00166667,12.00136364,12.00157143,12.00178,88.74
0.40130185,10.002,4.8899,3.2971,12,11.99966667,11.99972727,11.99985714,12.00005882,84.735
0.301298375,10.002,4.6258,3.2075,12.001,12.002,12.00209091,12.00190476,12.002,79.224
0.201294898,10.002,4.8189,3.0729,11.998,11.9992,11.99963636,11.99957143,11.99984,58.084
0.151937112,10.002,4.1287,3.0137,12,12.00016667,11.99990909,9.913,4.301867925,43.323
1,10.002,1.1356,4.1906,0,0,0,0,0,99.59
0.950986816,10.002,2.2157,3.7753,8.9992,9.000266667,9.000354545,9.000671429,3.905954717,99.293
