,Pearson,Spearman
AvgCurrent_20s,0.1821971005623975,0.34823798008273515
PulseLength(s),-0.213314066851543,-0.19272384107142201
SOC,0.6200372055730781,0.678754172777668
SOP(W),1.0,1.0
Temperature(C),0.5796534609215757,0.5463362197459517
Voltage(V),0.6122550122574923,0.6666282810342782
test,0.2584580932075015,0.2191086886641789
