SOC,PulseLength(s),Temperature(C),Voltage(V),True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V)
0.899916667,24.137,2.2445,3.3429,54.711,6.8241291819838805,-4.0400887801731,2.2870243141124957,13.898928657323122
0.899916667,30.003,1.6219,3.3431,52.636,7.085789169427008,-8.064533563479781,2.3450730396201833,15.4337041426613
0.899916667,30.003,1.8828,3.343,51.586,7.021981432111934,-8.006714872284793,1.818232002086006,15.604491532885003
0.899916667,12.923,2.365,3.3358,63.394,6.478811389657203,-1.1771968974638731,3.027226903726114,14.145546533202287
0.850083333,30.002,25.455,3.3375,76.12,7.314271112699061,-7.115814560560975,21.5908988202014,15.998117168316385
0.850083333,10.001,-8.4597,3.3104,34.829,1.1623484962037764,0.3355096836993471,-9.597933204063446,6.852507592954208
0.850083333,30.002,40.178,3.338,80.334,6.453204683754593,-6.51000581803266,27.954953090851195,15.548709925500443
0.850083333,30.003,-9.0089,3.3236,30.511,2.7642975125834344,-7.930036158240401,-9.844093062717002,9.016077217295534
0.850075,2.003,1.207,3.324,66.885,0.6853934750671032,9.916686781859026,3.4236819725565146,8.130771853792249
0.850075,10.002,10.777,3.3314,68.54,6.895937424233416,0.2370690299361013,12.97882400817587,11.608784374948591
0.850075,2.002,10.938,3.3293,75.052,4.48869255942409,11.01770876229508,13.652165675995638,10.849479168299586
0.850066667,10.002,25.221,3.335,77.742,6.367891084322473,-0.49796298856148496,20.615320999877294,13.764105939089786
0.850066667,2.003,25.357,3.3321,81.495,4.082393356420798,9.560590706481598,20.7841384803236,10.602492766424549
0.850066667,10.003,40.889,3.3366,82.24,4.619157318075304,-0.4869844364724122,27.586524745662462,13.476404038220643
0.850066667,2.002,40.856,3.3343,84.654,3.164311979547492,7.352656765249558,25.072080040645087,11.34354652491631
0.85,10.002,-9.3475,3.3186,36.496,1.1909578517242334,-0.9729216420277953,-10.037113252544078,8.033381488966988
0.85,10.003,-9.5424,3.3259,37.609,2.655391370956786,-1.373443059241399,-11.092648098779609,8.12642577172839
0.85,30.003,10.557,3.3383,68.779,8.899994020545854,-7.820536797852255,12.56336349733174,16.283216060760896
0.85,10.002,-8.4216,3.3232,37.195,1.3748274144507013,-1.147692754343152,-9.93451973040239,8.430111087956465
