y_actual,y_predicted
98.723,100.0054
31.743,47.614594
101.41,101.53188
84.92,82.93307
34.577,31.025698
94.157,94.36565
72.101,43.08052
73.405,66.02148
66.967,54.424183
13.379,9.772157
8.4158,3.7558386
85.272,99.36808
85.512,90.9038
85.245,90.60664
81.501,83.999275
78.948,77.53522
75.089,73.328255
100.41,100.37647
89.868,88.83683
85.949,79.04417
64.648,63.82858
41.726,41.53711
20.359,28.263014
9.5856,15.935059
93.925,98.830345
91.681,92.65727
83.338,79.23299
8.1414,13.304031
97.251,96.27107
95.229,95.492546
99.152,98.216866
97.206,95.7756
92.319,92.84241
43.323,43.390614
95.231,95.847725
4.1932,16.570335
