y_actual,y_predicted
104.59,102.76879
103.14,103.29208
102.29,101.790764
81.557,58.88851
45.937,58.093838
35.365,37.548237
24.815,27.267076
16.885,29.681065
7.138,16.12351
83.525,87.89988
20.566,22.39073
15.654,14.074576
102.86,100.43928
102.4,99.34956
42.748,41.79587
40.723,50.839954
11.309,15.59089
7.9611,8.675399
63.154,54.843086
36.81,55.321377
99.794,100.845955
99.404,100.23076
92.481,92.57862
81.207,80.79866
88.74,88.76343
84.735,83.508026
58.084,60.703064
97.287,97.7803
85.158,85.532364
17.676,21.818153
23.625,19.891407
99.14,96.67061
82.66,80.06655
65.16,57.135365
43.211,41.788868
99.894,104.39502
