y_actual,y_predicted
102.39,94.92321
100.45,99.6418
89.91,88.65448
104.92,100.77384
79.622,64.02814
63.803,41.195576
99.492,101.66105
69.593,41.349606
25.226,30.15799
10.842,11.868235
61.822,66.91514
11.269,4.334046
9.1985,5.3688602
102.96,103.43108
92.781,95.459435
25.413,27.547861
15.367,23.59006
6.6827,3.2788255
93.411,91.63542
89.493,87.63048
26.316,22.341057
60.92,62.61541
17.405,16.985115
99.374,100.94259
98.906,95.66389
99.293,99.77624
99.002,95.34333
95.328,95.13516
80.002,76.31126
95.805,99.938416
99.792,98.51999
97.274,97.87621
92.892,96.40574
83.649,77.79988
44.98,45.000698
20.597,21.207033
