SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
1.0,10.002,1.1537,4.1909,0.0,99.792,19.894716,-0.16165467,5.683837,6.6929855,-2.547252,5
1.0,10.003,0.62361,4.1911,0.0,99.794,19.420197,-0.8285287,1.9781456,9.334523,-2.1433234,4
1.0,10.002,1.0175,4.1912,0.0,99.894,16.524645,0.33487839,7.8121276,7.977592,-2.6916611,2
1.0,10.001,0.74664,4.1905,0.0,99.374,18.000742,-0.18210419,6.12603,7.8830733,-1.813571,3
1.0,10.003,0.62361,4.1911,0.0,99.794,16.80701,-1.0613048,7.250361,8.761939,-2.7353878,2
1.0,10.003,0.62361,4.1911,0.0,99.794,19.550037,-0.5904481,5.167542,6.305704,-1.6911515,1
1.0,10.002,1.1537,4.1909,0.0,99.792,19.155586,0.17296073,3.0184016,6.5442786,-2.1308303,1
1.0,10.002,1.0175,4.1912,0.0,99.894,18.07457,-0.026709922,5.816454,7.6223717,-1.8101158,3
1.0,10.001,0.74664,4.1905,0.0,99.374,18.287039,-0.8350308,6.1587343,6.158109,-1.9170505,1
1.0,10.003,0.38608,4.1906,0.0,99.42,17.656935,-0.4882635,2.6419208,8.4182415,-1.8189905,3
1.0,10.002,1.1537,4.1909,0.0,99.792,18.869844,-0.011218125,4.606071,7.451117,-1.8083229,3
1.0,10.002,1.1356,4.1906,0.0,99.59,19.200054,0.17296073,4.747055,6.3891473,-2.0513737,1
1.0,10.002,1.1356,4.1906,0.0,99.59,19.53196,-0.15776177,7.8556614,6.645732,-2.5446134,5
1.0,10.003,0.38608,4.1906,0.0,99.42,19.732687,-0.5680668,2.8921928,6.3342905,-1.6840115,1
1.0,10.002,1.0175,4.1912,0.0,99.894,18.928652,0.18869534,8.699887,6.2327423,-1.7592285,1
1.0,10.003,0.38608,4.1906,0.0,99.42,19.051477,-0.15742683,6.225918,6.7270517,-2.2643092,5
1.0,10.001,0.74664,4.1905,0.0,99.374,19.553091,-0.027825695,9.582642,7.3162045,-2.3085685,5
