SOC,Temperature(C),Capacity,R_50%,SOP(W)
0.7,25,2.74,16.12,103.2
0.6,25,2.74,16.12,100.76
0.5,25,2.74,16.12,97.544
0.4,25,2.74,16.12,94.862
0.3,25,2.74,16.12,92.07
0.2,25,2.74,16.12,85.369
0.15,25,2.74,16.12,74.716
0.1,25,2.74,16.12,44.632
0.05,25,2.74,16.12,25.892
0.02,25,2.74,16.12,15.524
0.01,25,2.74,16.12,10.973
1,10,2.74,16.12,100.85
0.95,10,2.74,16.12,100.54
0.9,10,2.74,16.12,99.936
0.8,10,2.74,16.12,98.461
0.7,10,2.74,16.12,96.66
0.6,10,2.74,16.12,93.864
0.5,10,2.74,16.12,90.704
0.4,10,2.74,16.12,87.586
0.3,10,2.74,16.12,82.501
0.2,10,2.74,16.12,53.23
0.15,10,2.74,16.12,33.754
0.1,10,2.74,16.12,19.756
0.05,10,2.74,16.12,11.037
0.02,10,2.74,16.12,6.7319
1,25,2.71,17.26,106.98
0.95,25,2.71,17.26,106.55
0.9,25,2.71,17.26,105.79
0.8,25,2.71,17.26,103.93
0.7,25,2.71,17.26,102.06
0.6,25,2.71,17.26,99.574
0.5,25,2.71,17.26,96.363
0.4,25,2.71,17.26,93.592
0.3,25,2.71,17.26,90.342
0.2,25,2.71,17.26,80.552
0.15,25,2.71,17.26,59.948
0.1,25,2.71,17.26,35.303
0.05,25,2.71,17.26,21.295
0.02,25,2.71,17.26,13.23
0.01,25,2.71,17.26,9.7509
1,10,2.71,17.26,98.91
0.95,10,2.71,17.26,98.677
0.9,10,2.71,17.26,98.2
0.8,10,2.71,17.26,96.697
0.7,10,2.71,17.26,94.986
0.6,10,2.71,17.26,92.374
0.5,10,2.71,17.26,89.31
0.4,10,2.71,17.26,85.828
0.3,10,2.71,17.26,79.145
0.2,10,2.71,17.26,42.731
0.15,10,2.71,17.26,27.015
0.1,10,2.71,17.26,16.146
0.05,10,2.71,17.26,9.4978
0.02,10,2.71,17.26,5.6623
1,25,2.67,18.24,105.91
0.95,25,2.67,18.24,105.51
0.9,25,2.67,18.24,104.82
0.8,25,2.67,18.24,103.06
0.7,25,2.67,18.24,101.23
0.6,25,2.67,18.24,98.737
0.5,25,2.67,18.24,95.582
0.4,25,2.67,18.24,92.778
0.3,25,2.67,18.24,89.397
0.2,25,2.67,18.24,79.722
0.15,25,2.67,18.24,58.843
0.1,25,2.67,18.24,35.347
0.05,25,2.67,18.24,21.946
0.02,25,2.67,18.24,14.47
0.01,25,2.67,18.24,11.1
1,10,2.67,18.24,97.55
0.95,10,2.67,18.24,97.371
0.9,10,2.67,18.24,96.954
0.8,10,2.67,18.24,95.712
0.7,10,2.67,18.24,93.748
0.6,10,2.67,18.24,91.183
0.5,10,2.67,18.24,88.179
0.4,10,2.67,18.24,84.613
0.3,10,2.67,18.24,78.276
0.2,10,2.67,18.24,41.999
0.15,10,2.67,18.24,26.222
0.1,10,2.67,18.24,16.104
0.05,10,2.67,18.24,9.8175
0.02,10,2.67,18.24,6.0266
1,25,2.65,19.12,104.99
0.95,25,2.65,19.12,104.6
0.9,25,2.65,19.12,103.97
0.8,25,2.65,19.12,102.25
0.7,25,2.65,19.12,100.4
0.6,25,2.65,19.12,97.835
0.5,25,2.65,19.12,94.691
0.4,25,2.65,19.12,91.843
0.3,25,2.65,19.12,88.154
0.2,25,2.65,19.12,75.958
0.15,25,2.65,19.12,52.416
0.1,25,2.65,19.12,32.318
0.05,25,2.65,19.12,19.982
0.02,25,2.65,19.12,13.227
0.01,25,2.65,19.12,10.148
1,10,2.65,19.12,96.308
0.95,10,2.65,19.12,96.08
0.9,10,2.65,19.12,95.623
0.8,10,2.65,19.12,94.324
0.7,10,2.65,19.12,92.416
0.6,10,2.65,19.12,89.535
0.5,10,2.65,19.12,86.275
0.4,10,2.65,19.12,82.671
0.3,10,2.65,19.12,69.264
0.2,10,2.65,19.12,35.485
0.15,10,2.65,19.12,22.169
0.1,10,2.65,19.12,13.774
0.05,10,2.65,19.12,9.042
0.02,10,2.65,19.12,6.1495
1,25,2.58,20.28,103.79
0.95,25,2.58,20.28,103.41
0.9,25,2.58,20.28,102.85
0.8,25,2.58,20.28,101.17
0.7,25,2.58,20.28,99.329
0.6,25,2.58,20.28,96.789
0.5,25,2.58,20.28,93.656
0.4,25,2.58,20.28,90.75
0.3,25,2.58,20.28,86.799
0.2,25,2.58,20.28,73.194
0.15,25,2.58,20.28,51.208
0.1,25,2.58,20.28,31.568
0.05,25,2.58,20.28,19.952
0.02,25,2.58,20.28,14.249
0.01,25,2.58,20.28,11.731
1,10,2.58,20.28,94.788
0.95,10,2.58,20.28,94.592
0.9,10,2.58,20.28,94.162
0.8,10,2.58,20.28,92.897
0.7,10,2.58,20.28,90.963
0.6,10,2.58,20.28,88.32
0.5,10,2.58,20.28,85.098
0.4,10,2.58,20.28,81.171
0.3,10,2.58,20.28,64.892
0.2,10,2.58,20.28,34.136
0.15,10,2.58,20.28,21.896
0.1,10,2.58,20.28,14.484
0.05,10,2.58,20.28,9.8078
0.02,10,2.58,20.28,6.8928
0.01,10,2.58,20.28,5.7054
1,25,2.54,20.9,103.16
0.95,25,2.54,20.9,102.8
0.9,25,2.54,20.9,102.28
0.8,25,2.54,20.9,100.65
0.7,25,2.54,20.9,98.824
0.6,25,2.54,20.9,96.239
0.5,25,2.54,20.9,93.161
0.4,25,2.54,20.9,90.276
0.3,25,2.54,20.9,86.372
0.2,25,2.54,20.9,73.242
0.15,25,2.54,20.9,52.009
0.1,25,2.54,20.9,32.388
0.05,25,2.54,20.9,20.62
0.02,25,2.54,20.9,15.046
0.01,25,2.54,20.9,12.627
1,10,2.54,20.9,93.994
0.95,10,2.54,20.9,93.85
0.9,10,2.54,20.9,93.466
0.8,10,2.54,20.9,92.225
0.7,10,2.54,20.9,90.295
0.6,10,2.54,20.9,87.661
0.5,10,2.54,20.9,84.479
0.4,10,2.54,20.9,80.547
0.3,10,2.54,20.9,63.559
0.2,10,2.54,20.9,33.97
0.15,10,2.54,20.9,22.023
0.1,10,2.54,20.9,14.745
0.05,10,2.54,20.9,10.106
0.02,10,2.54,20.9,7.5167
0.01,10,2.54,20.9,6.0846
1,25,2.54,21.78,102.27
0.95,25,2.54,21.78,101.9
0.9,25,2.54,21.78,101.41
0.8,25,2.54,21.78,99.778
0.7,25,2.54,21.78,97.889
0.6,25,2.54,21.78,95.191
0.5,25,2.54,21.78,92.09
0.4,25,2.54,21.78,89.069
0.3,25,2.54,21.78,84.503
0.2,25,2.54,21.78,63.41
0.15,25,2.54,21.78,43.754
0.1,25,2.54,21.78,27.669
0.05,25,2.54,21.78,18.308
0.02,25,2.54,21.78,13.247
0.01,25,2.54,21.78,10.919
1,10,2.54,21.78,92.738
0.95,10,2.54,21.78,92.624
0.9,10,2.54,21.78,92.246
0.8,10,2.54,21.78,90.992
0.7,10,2.54,21.78,89.19
0.6,10,2.54,21.78,86.242
0.5,10,2.54,21.78,82.911
0.4,10,2.54,21.78,78.313
0.3,10,2.54,21.78,54.755
0.2,10,2.54,21.78,28.757
0.15,10,2.54,21.78,18.461
0.1,10,2.54,21.78,12.843
0.05,10,2.54,21.78,9.1102
0.02,10,2.54,21.78,6.6813
1,25,2.5,22.73,101.37
0.95,25,2.5,22.73,101.04
0.9,25,2.5,22.73,100.6
0.8,25,2.5,22.73,98.981
0.7,25,2.5,22.73,97.055
0.6,25,2.5,22.73,94.298
0.5,25,2.5,22.73,91.219
0.4,25,2.5,22.73,88.154
0.3,25,2.5,22.73,83.37
0.2,25,2.5,22.73,60.648
0.15,25,2.5,22.73,42.233
0.1,25,2.5,22.73,27.163
0.05,25,2.5,22.73,18.235
0.02,25,2.5,22.73,13.462
0.01,25,2.5,22.73,11.312
1,10,2.5,22.73,91.92
0.95,10,2.5,22.73,91.909
0.9,10,2.5,22.73,91.553
0.8,10,2.5,22.73,90.294
0.7,10,2.5,22.73,88.232
0.6,10,2.5,22.73,85.256
0.5,10,2.5,22.73,81.908
0.4,10,2.5,22.73,76.758
0.3,10,2.5,22.73,51.691
0.2,10,2.5,22.73,27.578
0.15,10,2.5,22.73,18.444
0.1,10,2.5,22.73,12.696
0.05,10,2.5,22.73,9.1563
0.02,10,2.5,22.73,6.9036
0.01,10,2.5,22.73,5.5415
1,25,2.5,24.22,99.31016629
0.95,25,2.5,24.22,98.99299934
0.9,25,2.5,24.22,98.59442814
0.8,25,2.5,24.22,96.89495702
0.7,25,2.5,24.22,94.75408528
0.6,25,2.5,24.22,91.73921938
0.5,25,2.5,24.22,88.6274014
0.4,25,2.5,24.22,85.04445692
0.3,25,2.5,24.22,77.88422057
0.2,25,2.5,24.22,46.46407472
0.15,25,2.5,24.22,32.71873072
0.1,25,2.5,24.22,22.36732052
