SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,SOP(W)
0.349866667,30.002,-14.93,3.5796,0.200003333,1,17.239
0.3499,30.004,-14.985,3.5885,0.19999,1,16.995
0.2999,30.004,-15.823,3.4816,0.206889655,1,12.291
0.299866667,30.002,-15.926,3.4968,0.206889655,1,12.679
0.299866667,30.002,-15.52,3.5316,0.200003333,1,12.972
0.299866667,30.002,-15.44,3.5411,0.2,1,12.757
0.249866667,30.005,-14.726,3.4411,0.206889655,1,9.3004
0.249866667,30.003,-14.496,3.4517,0.206882759,1,8.9295
0.249866667,30.003,-14.263,3.4825,0.103451724,1,9.1388
0.199833333,30.002,-14.106,3.3978,0.206896552,1,1.5087
0.199866667,30.002,-13.827,3.4048,0.206893103,1,8.9623
0.199866667,30.002,-14.168,3.446,0.20001,1,4.6526
0.199833333,30.002,-13.839,3.4461,0.200003333,1,6.3354
0.199866667,30.002,-14.559,3.4504,0.200006667,1,5.7353
0.149866667,9.108,-14.24,3.3143,0.206903448,1,8.9994
0.149833333,30.004,-13.883,3.3417,0.206910345,1,2.5123
0.149833333,30.004,-13.826,3.3909,0.103455172,1,2.7087
0.099833333,30.004,-12.706,2.8688,0.031373103,1,0.04838
1.000003333,10.003,-18.434,4.1975,0.0081075,1,37.28
0.999996667,10.003,-18.284,4.1978,0.000766364,1,36.751
0.99999,10.004,-17.572,4.1981,0.000344333,1,36.19
0.94999,10.003,-18.439,4.066,0.2143,1,50.267
0.94999,10.003,-17.253,4.0794,0.2143,1,53.892
0.94999,10.003,-18.225,4.085,0.103451724,1,56.741
0.949976667,10.003,-18.153,4.0969,0.0755,1,58.901
0.949973333,10.002,-18.056,4.0999,0.074586667,1,61.4
0.89997,10.004,-17.501,4.0317,0.214278571,1,59.781
0.849983333,10.003,-18.471,3.958,0.214292857,1,53.665
0.79997,10.004,-17.442,3.9006,0.214285714,1,47.888
0.74997,10.003,-18.104,3.8602,0.214282143,1,44.424
0.699966667,10.004,-17.967,3.8201,0.206893103,1,41.044
0.649966667,10.002,-17.144,3.7745,0.206893103,1,37.656
0.599966667,10.003,-17.043,3.7257,0.206893103,1,33.978
0.549933333,10.002,-16.218,3.6742,0.206903448,1,30.129
0.499933333,10.002,-16.121,3.6272,0.2069,1,26.575
0.449933333,10.003,-15.697,3.5863,0.206893103,1,23.263
0.399966667,10.003,-16.021,3.5485,0.206896552,1,19.736
0.349933333,10.004,-16.195,3.5107,0.206910345,1,16.105
0.299966667,10.002,-15.893,3.4733,0.214285714,1,12.39
0.249933333,10.002,-16.005,3.4378,0.206889655,1,9.4482
0.199933333,10.001,-16.047,3.399,0.206893103,1,5.6542
0.149933333,10.003,-15.862,3.3852,0.200006667,1,4.8086
0.149933333,10.002,-15.568,3.3916,0.200006667,1,3.5115
0.999893333,2.002,-18.987,4.1869,0,1,31.46
0.999993333,2.002,-19.24,4.1882,0,1,30.424
0.99999,2.003,-19.469,4.1888,0,1,29.267
0.99999,2.002,-18.723,4.189,0,1,28.462
0.949993333,2.002,-18.56,4.0705,0,1,35.437
0.949993333,2.003,-17.869,4.0733,0,1,34.935
0.949973333,2.002,-18.782,4.0744,0,1,34.014
0.949973333,2.003,-19.008,4.0756,0,1,33.381
0.949973333,2.002,-19.175,4.0763,0,1,32.643
0.949973333,2.003,-18.276,4.077,0,1,31.753
0.89998,2.002,-18.229,4.0383,0,1,33.573
0.899976667,2.003,-19.093,4.0479,0,1,34.61
0.89996,2.003,-18.347,4.0519,0,1,33.312
0.899963333,2.002,-18.995,4.0547,0,1,32.708
0.849963333,2.003,-18.899,3.9828,0,1,32.179
0.79997,2.003,-18.88,3.9246,0,1,29.853
0.749973333,2.002,-19.003,3.8835,0,1,28.618
0.699963333,2.001,-18.341,3.8458,0,1,26.438
0.649996667,2.003,-19.187,3.8031,0,1,24.353
0.599996667,2.003,-18.966,3.7585,0,1,21.79
0.549993333,2.002,-18.212,3.7123,0,1,18.933
0.49998,2.003,-18.287,3.6651,0,1,16.22
0.44998,2.002,-18.316,3.6252,0,1,13.641
0.399983333,2.003,-18.223,3.5891,0,1,11.322
0.350013333,2.004,-18.482,3.5518,0,1,9.012
0.300006667,2.003,-19.291,3.5121,0,1,6.7756
0.250006667,2.003,-17.925,3.4717,0,1,5.004
0.249996667,2.003,-19.115,3.4811,0,1,5.7162
1.00001,2.003,25.984,4.1951,0.122609091,1,114.47
1.000006667,2.002,26.017,4.1954,0.500027778,1,114.56
0.999993333,2.001,25.999,4.1961,0.004444,1,112.7
0.949986667,2.002,25.164,4.0927,0.214285714,1,111.68
0.89999,2.002,25.827,4.0735,0.214282143,1,111.55
0.849993333,2.002,26.022,4.0515,0.214296429,1,110.82
0.8,2.002,25.413,4.0026,0.206889655,1,109.48
0.749976667,2.004,26.046,3.9486,0.206893103,1,108.11
0.70001,2.002,25.465,3.9087,0.206896552,1,107.1
0.64999,2.002,25.709,3.8664,0.206896552,1,106.01
0.59999,2.002,25.183,3.8096,0.2069,1,104.5
0.54999,2.002,25.864,3.7588,0.2069,1,102.99
0.50002,2.002,26.045,3.7073,0.206896552,1,101.46
0.450003333,2.002,25.323,3.6618,0.206889655,1,100.14
0.400006667,2.002,26.03,3.6251,0.206896552,1,99.002
0.350033333,2.003,25.353,3.5906,0.206893103,1,97.78
0.3,2.002,25.563,3.5543,0.206896552,1,96.454
0.25,2.002,25.31,3.5125,0.206889655,1,83.746
0.2,2.003,25.758,3.457,0.206889655,1,62.771
0.15,2.003,25.194,3.3986,0.206896552,1,37.948
0.100033333,2.002,25.631,3.3348,0.206893103,1,13.264
0.1,2.003,25.279,3.345,0.206896552,1,20.24
0.05,2.002,25.636,3.0506,0.206889655,1,15.975
1.000003333,2.003,-7.6553,4.1939,0.009250625,1,75.25
0.95,2.001,-7.6663,4.0587,0.214282143,1,87.184
0.95,2.002,-8.4607,4.0702,0.201501212,1,92.261
0.899986667,2.004,-8.4102,4.0246,0.214285714,1,90.857
0.849986667,2.003,-8.5796,3.9664,0.214289286,1,85.955
0.79999,2.003,-8.5766,3.9137,0.206896552,1,81.194
0.749996667,2.003,-7.6572,3.8655,0.206896552,1,75.749
0.69998,2.002,-7.9803,3.8224,0.2069,1,70.106
0.699996667,2.003,-8.2402,3.8355,0.206896552,1,73.377
0.64998,2.003,-8.0376,3.7792,0.206882759,1,64.483
0.649966667,2.002,-8.6104,3.7931,0.206896552,1,67.646
0.599963333,2.003,-7.9426,3.7324,0.206893103,1,57.902
0.59996,2.003,-8.1798,3.7471,0.206896552,1,61.065
0.549956667,2.003,-7.9106,3.6824,0.206896552,1,51.056
0.499933333,2.003,-8.5441,3.634,0.20692069,1,44.343
0.449943333,2.003,-8.1064,3.5917,0.2069,1,38.307
0.399946667,2.004,-7.7797,3.5527,0.206896552,1,32.341
0.349946667,2.002,-8.4529,3.5141,0.206886207,1,26.289
0.299923333,2.003,-7.7603,3.4762,0.2069,1,19.96
0.299946667,2.002,-7.6434,3.4866,0.206893103,1,21.982
0.24994,2.002,-7.8285,3.44,0.206896552,1,13.526
0.249916667,2.002,-7.6974,3.4506,0.206896552,1,16.555
0.199906667,2.002,-8.3911,3.4025,0.206896552,1,8.3309
0.199906667,2.002,-8.3826,3.4167,0.214292857,1,12.72
0.149886667,2.002,-7.9408,3.357,0.206886207,1,4.8273
0.149913333,2.003,-8.3088,3.3728,0.206893103,1,6.9676
0.0999,2.003,-8.4391,3.0745,0.206896552,1,0.5129
0.997816667,30.003,-18.496,4.1803,0,1,27.158
0.997453333,30.003,-18.444,4.1862,0,1,26.804
0.94694,30.003,-18.74,4.0766,0,1,27.509
0.94694,30.003,-17.828,4.0805,0,1,28.216
0.896926667,30.002,-18.473,4.0561,0,1,28.534
0.846933333,30.003,-18.129,3.9999,0,1,26.453
0.796916667,30.002,-18.848,3.9406,0,1,24.483
0.746953333,30.003,-18.1,3.8924,0,1,22.428
0.696933333,30.003,-18.72,3.8551,0,1,21.521
0.646933333,30.003,-18.188,3.8096,0,1,18.314
0.646933333,30.002,-18.901,3.8182,0,1,19.42
0.596933333,30.002,-17.388,3.7684,0,1,17.006
0.546933333,30.002,-18.472,3.7199,0,1,15.022
0.496966667,30.002,-18.304,3.672,0,1,12.473
0.446966667,30.003,-17.781,3.6302,0,1,10.675
0.396966667,30.002,-17.949,3.5957,0,1,8.9041
0.346966667,30.003,-18.803,3.5578,0,1,6.7189
0.346966667,30.002,-18.559,3.5678,0,1,7.2908
0.296966667,30.003,-17.91,3.5174,0,1,4.7246
0.296933333,30.002,-18.561,3.5291,0,1,5.3433
0.296933333,30.002,-17.745,3.5363,0,1,5.797
0.246933333,30.003,-18.73,3.4742,0,1,3.0972
0.246966667,30.003,-18.113,3.4831,0,1,3.5512
1.00001,10.002,1.1173,4.1984,0.094427273,1,99.208
0.95001,10.002,1.6218,4.0864,0.214282143,1,100.44
0.95001,10.002,1.0574,4.0941,0.214267857,1,102.22
0.9,10.003,0.8243,4.0707,0.214275,1,101.07
0.850013333,10.002,1.282,4.0401,0.214282143,1,100.58
0.8,10.002,1.6422,3.9847,0.214275,1,99.614
0.750033333,10.002,1.593,3.926,0.206896552,1,98.254
0.7,10.002,1.4944,3.8815,0.206893103,1,97.076
0.65,10.003,1.5143,3.8434,0.2069,1,93.974
0.65,10.003,1.7265,3.8487,0.206889655,1,96.825
0.6,10.002,1.1738,3.8012,0.214282143,1,87.114
0.550033333,10.002,1.1064,3.7527,0.206882759,1,78.468
0.5,10.002,1.1233,3.7012,0.206889655,1,70.943
0.45,10.002,1.2751,3.6535,0.206889655,1,63.186
0.400033333,10.002,1.1216,3.6128,0.206896552,1,55.857
0.35,10.002,1.7849,3.574,0.206893103,1,48.203
0.3,10.002,1.4725,3.5315,0.206893103,1,39.431
0.25,10.003,0.9385,3.4836,0.206886207,1,29.287
0.199966667,10.003,1.3616,3.4335,0.206893103,1,18.225
0.2,10.002,1.5137,3.4416,0.206893103,1,21.144
0.149966667,10.002,1.6647,3.3765,0.206906897,1,8.935
0.15,10.002,1.7928,3.3875,0.206889655,1,11.756
0.099966667,10.002,1.0404,3.27,0.206889655,1,0.55427
0.099966667,10.003,1.8797,3.2932,0.206889655,1,13.866
