SOC,Temperature(C),Capacity,R_50%,True_SOP(W),SHAP_SOC,SHAP_Temperature(C),SHAP_Capacity,SHAP_R_50%
0.95,25,2.91,13.04,111.8757689,20.025952,3.693988079,3.594640109,7.804964253
0.95,25,2.98,13.31,111.6447608,20.26630314,3.716613725,3.665963184,7.350311461
0.95,10,2.61,18.56,97.765,24.85417769,-5.569230237,-0.184233804,0.94178008
0.95,10,2.71,17.26,98.677,25.01425245,-5.300738794,0.239036731,1.465071608
0.95,10,2.91,13.04,107.7838275,21.70458552,-4.223410928,3.981534653,9.407471726
0.95,25,2.78,14.71,109.4,21.41262249,4.074992806,1.038048835,5.852125833
0.95,10,2.72,14.84,103.8460163,22.8139844,-4.53915475,1.664519337,7.564684243
0.95,25,2.58,19.76,104.07,23.01113255,4.907862949,0.213174945,-0.692988845
0.95,10,2.74,16.12,100.54,24.61075704,-5.25706709,0.513332498,3.529581211
0.95,25,2.61,18.56,105.33,22.48884533,4.841073019,0.253423206,1.041284162
0.95,10,2.54,21.78,92.624,25.5896944,-5.608080972,-0.454165897,-3.472211933
0.95,25,2.82,14.02,110.22,21.1555889,4.017482731,2.157526574,6.305759302
0.95,10,2.68,16.52,100.7,24.2406404,-5.111232227,1.249887931,3.320767339
0.95,10,2.78,14.71,103.78,23.48456007,-4.608339451,1.014856323,7.037392018
0.95,10,2.82,14.02,105.08,23.09215527,-4.574527742,2.219540554,7.390529663
0.95,25,2.5,22.73,101.04,23.79809346,4.910381507,-0.784124493,-3.455405406
0.95,25,2.65,17.57,106.46,22.41861349,4.595846132,0.825607107,2.207937523
0.95,25,2.68,16.52,107.62,21.95601137,4.495116226,1.119891333,3.119163548
0.95,25,2.76,15.32,108.69,21.70446232,4.287540588,0.774469946,4.915108472
0.95,10,2.86,13.52,105.85,22.70147453,-4.369959726,3.156512993,7.654730204
0.95,25,2.67,18.24,105.51,22.83511457,4.654302253,0.48060576,0.574800737
0.95,10,2.76,15.32,102.34,23.93920803,-4.863061684,0.702678869,5.79681656
0.95,10,2.65,17.57,99.252,24.7925216,-5.259374005,0.855841469,2.334666128
0.95,25,2.86,13.52,110.87,20.92733716,3.820742714,2.724143419,6.407193044
0.95,10,2.71,15.67,102.22,24.02814799,-4.717437468,0.833892069,5.86877938
0.95,10,2.92,13.02,106.8349043,22.45857264,-4.38941444,3.614780413,7.959478835
0.95,25,2.74,16.12,107.8,22.30953756,4.626760349,0.666296115,3.367419928
0.95,10,2.5,22.73,91.909,25.75194728,-5.812027744,-0.943672708,-3.958026086
0.95,25,2.54,21.78,101.9,23.65944299,4.781629644,0.002046404,-3.318543465
0.95,10,2.33,28.63,85.4,26.31193492,-5.956993166,-4.151468621,-7.73543818
0.95,10,2.79,14.02,105.3994543,23.0765491,-4.372446866,2.539658937,7.521474212
0.95,10,2.42,23.97,90.53,26.38959288,-5.52343458,-1.796568422,-5.274150913
0.95,10,2.65,19.12,96.08,25.26219431,-5.691169377,0.324406859,-1.270586524
0.95,10,2.38,25.61,88.677,26.07957413,-5.812079403,-1.780998811,-6.585060756
0.95,25,2.48,21.32,102.42,22.99290381,4.973294391,-0.076568386,-1.786780718
0.95,25,2.38,25.61,98.143,23.89157911,4.907071078,-1.890913813,-5.335797628
0.95,25,2.58,20.28,103.41,23.00254804,4.920310217,0.108279241,-1.694372946
0.95,10,2.5,24.22,89.34567144,26.36568623,-5.928594947,-1.130636762,-7.00355842
