SOC,PulseLength(s),Temperature(C),Voltage(V),Current(A),AvgCurrent_5s,AvgCurrent_10s,AvgCurrent_20s,AvgCurrent_50s
-7.397514956021914,2.864940793834394,10.010149832740717,-5.466951022299472,-0.23372628135839477,5.091043995888904,1.5014329286618158,0.5854309227899648,-0.12565511309541763
7.893745199423865,-1.7234422733285464,-14.444931743940106,6.096900257332018,-0.04358596444712021,-1.4292990813218056,-1.836988180577755,-1.570528982937394,-0.14002653348259628
-25.190057604679605,1.3635005335591268,-1.3234975833189673,-10.18817220184661,-0.5367942792223767,-2.6879975276533514,-0.8670768036483787,-0.5205302466219291,-0.2147584971319884
-35.073210903196596,-1.1183935307979118,9.202721560935025,-11.409279508091277,-0.06734778138110414,-2.2021556910779325,-1.5882090602628887,-0.8444810012326343,-0.3734565500123426
11.035968256699853,-0.8328765653842128,7.7527449214213995,12.01263613315532,0.2698622435971629,-1.3958548185694963,-1.2542070363461972,-0.7150244415635825,-0.1585998401697725
6.982229984783334,2.4129077762027737,8.192694263254817,4.319497625806252,-0.09997257330687717,1.2730095914145931,2.2172790614655242,0.8206185616459698,-0.11380924031604081
5.071645795411896,0.2781582167930901,9.329383857060456,8.406196144063724,0.05383209237828851,-1.5247008086647837,-1.9911378137767315,-1.076162402301561,-0.14488248636480422
10.273347055151826,-0.21014930528588593,8.859179854695686,9.501178046937566,0.049328865548595786,-1.654467356344685,-2.0649209514819087,-0.703275875399704,-0.1447750331601128
9.09633847031626,0.15911163926590233,2.6968780122557656,1.6848477731342428,0.2058780861343257,1.9001603606296704,1.7010084864124655,1.3128693037835182,0.740612332825549
-19.341453756948468,-0.8184583444881719,-2.913179042987758,-13.494123676393647,0.836241946668597,3.084665586373303,0.8972645271406509,1.1786202860670165,-0.07992572109331376
-25.210024867807515,-1.2704455655394122,-26.03957051915175,-9.068376415974344,-0.6113741256017238,-2.681634510126896,-1.0203673827159219,-0.7236072730459273,-0.36617698352085426
11.512186082792468,-0.7166072844003792,2.9305562370398546,5.405634703134419,-0.16339883487671614,2.0444732163799926,1.8949204664351418,1.176803663239116,0.14329966542311012
10.593529152297414,-0.0716256440395955,8.92420557018835,5.338972927626455,-0.244926603063941,1.9981711987312882,2.536038237065077,1.1647660938385525,-0.12742311807814985
-33.983014541258456,-1.1021860443276819,-3.6439356015517843,-19.89270529940026,0.8567864872608334,1.6257070461730472,0.8386359499604441,0.9440005995209504,-0.22446935084764846
-2.5710816010425335,1.160220107322093,-21.560159270984585,-2.4189490172942167,-0.14109363627387211,-1.6504621928045526,-2.0674789483379574,-1.200499390065088,-0.1505992332054302
2.9594058839557693,2.3433048005437014,8.470083995046153,2.7708137712039753,-0.1640907036396675,1.9258051565056666,2.0572415219293907,0.6490055029746145,-0.1261993031576276
-31.98363358538074,-1.2967927276110276,-8.348377903545625,-12.363638098921511,-0.45738411680329594,-2.0892391233611853,-1.0276120549137704,-0.8479657946433872,-0.3640977789228782
10.569132576315896,-0.17670948785496876,3.253070289910538,-4.019829595799092,0.8747524810174946,4.027227433770895,2.032423708385322,1.9971256048907526,0.9247452393453568
