SOC,Temperature(C),Capacity,R_50%,SOP(W)
0.05,10,2.68,16.52,14.782
1,25,2.65,17.57,106.9
0.95,25,2.65,17.57,106.46
0.9,25,2.65,17.57,105.69
0.8,25,2.65,17.57,103.82
0.7,25,2.65,17.57,101.84
0.6,25,2.65,17.57,99.011
0.5,25,2.65,17.57,95.998
0.4,25,2.65,17.57,93.418
0.3,25,2.65,17.57,90.33
0.2,25,2.65,17.57,82.868
0.15,25,2.65,17.57,70.827
0.1,25,2.65,17.57,46.329
0.05,25,2.65,17.57,27.937
0.02,25,2.65,17.57,16.428
1,10,2.65,17.57,99.263
0.95,10,2.65,17.57,99.252
0.9,10,2.65,17.57,98.831
0.8,10,2.65,17.57,97.04
0.7,10,2.65,17.57,94.888
0.6,10,2.65,17.57,91.882
0.5,10,2.65,17.57,88.894
0.4,10,2.65,17.57,85.755
0.3,10,2.65,17.57,80.059
0.2,10,2.65,17.57,50.451
0.15,10,2.65,17.57,33.614
0.1,10,2.65,17.57,21.705
0.05,10,2.65,17.57,14.365
1,25,2.61,18.56,105.74
0.95,25,2.61,18.56,105.33
0.9,25,2.61,18.56,104.64
0.8,25,2.61,18.56,102.84
0.7,25,2.61,18.56,100.84
0.6,25,2.61,18.56,97.976
0.5,25,2.61,18.56,95.015
0.4,25,2.61,18.56,92.384
0.3,25,2.61,18.56,89.02
0.2,25,2.61,18.56,80.69
0.15,25,2.61,18.56,65.154
0.1,25,2.61,18.56,42.725
0.05,25,2.61,18.56,26.379
0.02,25,2.61,18.56,15.762
1,10,2.61,18.56,97.746
0.95,10,2.61,18.56,97.765
0.9,10,2.61,18.56,97.373
0.8,10,2.61,18.56,95.574
0.7,10,2.61,18.56,93.326
0.6,10,2.61,18.56,90.279
0.5,10,2.61,18.56,87.282
0.4,10,2.61,18.56,83.85
0.3,10,2.61,18.56,76.73
0.2,10,2.61,18.56,43.25
0.15,10,2.61,18.56,28.837
0.1,10,2.61,18.56,19.839
1,25,2.58,19.76,104.5
0.95,25,2.58,19.76,104.07
