SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,test,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,SHAP_test,fold
SOC_100,0.9998703309423077,12.412769230769227,16.405054807692306,4.183234615384615,0.05811113500000001,1.3653846153846154,78.4218076923077,15.816332298193323,1.624328058395966,21.891474531657423,9.86606069697544,5.787477312330353,2.125917095741472,5.0
SOC_95,0.9499446949692308,12.587153846153846,14.032538153846154,4.065567692307692,0.5551498202923076,1.2923076923076924,78.20555384615383,17.25431943124016,1.9038356293708871,18.32809831074293,9.883450335255437,6.226933473188749,1.6875525144907613,5.0
SOC_90,0.8999719605471698,13.700603773584906,14.541602830188683,4.035858490566038,0.6562717559433963,1.3773584905660377,82.12824528301887,18.120710917231637,1.7122091379677844,18.188819816557306,8.58480261710479,5.9888315029721255,1.8387065970886691,5.0
SOC_80,0.7999843543617022,13.662148936170212,14.64336936170213,3.9391723404255305,0.8270484017234043,1.425531914893617,79.39665957446809,14.69290079839206,1.6617828461543582,18.955224692169207,6.393405916936414,5.505859278465661,1.9266067736608503,5.0
SOC_70,0.7000093433571429,13.145595238095238,14.895851904761903,3.8428714285714287,0.918231171952381,1.4761904761904763,76.39999999999999,12.41467459519366,2.0093641636140367,20.649200449732774,4.590904716088678,4.379535910400092,2.1300586658397167,5.0
SOC_60,0.5999978439074075,16.891462962962958,14.955913148148149,3.7585888888888883,0.7447052935,1.3703703703703705,64.07366666666665,8.366482278002685,2.1795581664886226,21.91682551323038,2.3272735029512037,3.7530784385520093,2.0427366774203257,5.0
SOC_50,0.4999938739400001,16.96238,14.404563000000001,3.667332,0.80619559878,1.4,59.142119999999984,3.8625706926127372,2.412118651936334,20.495926030256182,1.4216166310728409,3.503931082129825,2.5812005572669676,5.0
SOC_40,0.3999738181698113,17.172792452830187,13.71604358490566,3.5884735849056604,0.7564739943773586,1.3773584905660377,51.13769999999999,5.481436461570533,2.762876311621915,19.088603343744484,2.7897914097632204,2.932370452514348,3.031530072448209,5.0
SOC_30,0.29984356134482754,17.450862068965513,13.524477068965519,3.515203448275862,0.6969186600000001,1.3448275862068966,39.24763793103448,12.386842086659597,2.197959486918503,17.169304039481258,5.907709598753677,3.190003034627007,3.3502078406157265,5.0
SOC_20,0.1999914376551724,16.14018965517241,12.719153275862068,3.4234948275862065,0.7184800717068964,1.3448275862068966,26.92876724137931,22.49017331070702,2.297366150454889,13.264077186667537,11.72015874807999,2.7376221005724672,3.9009725436788454,5.0
SOC_15,0.14999969261538462,16.498169230769232,12.692021846153848,3.376298461538462,0.6131316522307693,1.2923076923076924,18.578351846153847,29.980311464127436,2.2843768652336127,11.188443840988485,13.776146212859535,1.8968963821404008,3.121117673090713,5.0
SOC_10,0.10002153183720928,14.875093023255811,14.725344418604653,3.267774418604651,0.5841566366976744,1.4186046511627908,14.498703023255812,37.01242957082401,2.197735466612422,11.93420259776705,16.40496004184264,1.9491275224349252,2.847230861548085,5.0
SOC_5,0.04998857561111111,11.551333333333336,20.688188888888888,3.116422222222222,0.1962121208888889,1.5,11.605945,38.58642279830429,1.985947556754011,14.758998357981827,20.36053778029852,2.2414509730925904,2.3814090742726375,5.0
SOC_2,0.01999759457142857,8.85957142857143,19.67797142857143,3.2671571428571426,0.0,2.0,15.552785714285715,34.34735793061475,1.1005116589808934,16.87005988664045,16.895178832791196,3.4809998582659527,3.1114621664437334,5.0
