SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
SOC_100,1.0000000386428571,10.859,11.494566428571432,4.163514285714286,0.0,93.37235714285714,15.867574691772461,0.6234086155891418,11.940645217895508,7.965396404266357,2.7333755493164062,2.0
SOC_95,0.9502942443076923,9.38653846153846,11.20306846153846,3.982161538461538,2.2976575788461537,92.72192307692308,14.072378158569336,0.5454288125038147,9.66813850402832,5.213587284088135,3.3385021686553955,2.0
SOC_90,0.9002588505,10.859214285714286,12.605817857142855,3.9650500000000006,2.1030693146428576,92.853,14.275202751159668,0.5639932751655579,10.332776069641113,5.330152988433838,3.188695192337036,2.0
SOC_80,0.800316999,10.859642857142859,12.615197142857141,3.871442857142857,2.4286274680000006,90.78600000000003,13.770347595214844,0.7170187830924988,10.008565902709961,5.24251651763916,3.1862244606018066,2.0
SOC_70,0.7003230299285715,10.859714285714286,12.632421428571432,3.7911642857142853,2.428520275285714,88.41235714285715,12.208776473999023,0.7655948400497437,10.536016464233398,4.52937126159668,3.397827625274658,2.0
SOC_60,0.6003173977142858,10.85907142857143,12.746000714285714,3.704478571428571,2.4253987959285714,85.30807142857142,11.163602828979492,0.7143824696540833,10.73335075378418,3.526566743850708,3.714367628097534,2.0
SOC_50,0.5003197879285713,10.859,12.597899285714288,3.6170785714285714,2.466319853857143,81.60107142857143,9.228973388671875,0.7541270852088928,9.968202590942383,2.4494919776916504,3.8880627155303955,2.0
SOC_40,0.4003149307857143,10.859142857142858,12.623201428571429,3.5418285714285718,2.4284879505,76.99857142857142,6.637826442718506,0.9604316353797913,11.001011848449707,2.8096470832824707,4.462254047393799,2.0
SOC_30,0.3003066587142857,10.859500000000002,12.721722142857141,3.475007142857143,2.4286653740000004,70.52671428571428,3.301539182662964,0.9528446197509766,11.226041793823242,3.492727756500244,5.043765544891357,2.0
SOC_20,0.20029643214285714,10.8595,12.829716428571428,3.3908857142857136,2.418402318142857,56.86171428571429,8.745118141174316,0.8267936706542969,11.347372055053711,6.165584087371826,5.295763969421387,2.0
SOC_15,0.15035384784615383,9.38676923076923,11.85979230769231,3.3397538461538456,2.301284468846154,43.08850769230769,19.951658248901367,0.43659114837646484,11.324004173278809,8.013068199157715,5.356583595275879,2.0
SOC_10,0.10022250269230769,10.925461538461539,13.53489846153846,3.2654307692307687,1.538563553153846,27.5813923076923,36.22539520263672,0.6360546350479126,10.862716674804688,9.224874496459961,4.7342753410339355,2.0
SOC_5,0.050003461624999995,9.00225,17.4815875,3.2712250000000003,0.238095892875,19.6369625,37.17023468017578,0.5388258099555969,14.03415298461914,11.021414756774902,3.9913980960845947,2.0
SOC_2,0.01999759457142857,8.85957142857143,19.67797142857143,3.2671571428571426,0.0,15.552785714285715,36.738346099853516,0.7608557343482971,13.525581359863281,12.740653038024902,4.390326976776123,2.0
