SOC_level,SOC,PulseLength(s),Temperature(C),Voltage(V),AvgCurrent_20s,True_SOP(W),SHAP_SOC,SHAP_PulseLength(s),SHAP_Temperature(C),SHAP_Voltage(V),SHAP_AvgCurrent_20s,fold
SOC_100,1.0000000386428571,10.859,7.692366428571428,4.163514285714286,0.0,93.37235714285714,18.462087631225586,-0.051884353160858154,2.2046353816986084,6.298690319061279,-2.174851417541504,5.0
SOC_95,0.9502942443076923,9.38653846153846,7.4870684615384615,3.982161538461538,2.2976575788461537,92.72192307692308,17.234764099121094,0.09089487046003342,2.706782102584839,4.6527605056762695,0.7565938234329224,5.0
SOC_90,0.9002588505,10.859214285714286,9.148217857142857,3.9650500000000006,2.1030693146428576,92.853,16.684646606445312,0.017435042187571526,2.387233018875122,4.702752113342285,0.2823202908039093,5.0
SOC_80,0.800316999,10.859642857142859,9.145082857142858,3.871442857142857,2.4286274680000006,90.78600000000003,16.062896728515625,-0.10836254060268402,1.6550251245498657,4.206896781921387,0.622678816318512,5.0
SOC_70,0.7003230299285715,10.859714285714286,9.173821428571427,3.7911642857142853,2.428520275285714,88.41235714285715,14.171142578125,-0.12098857015371323,2.1038448810577393,3.6312806606292725,0.6428581476211548,5.0
SOC_60,0.6003173977142858,10.85907142857143,9.250986428571428,3.704478571428571,2.4253987959285714,85.30807142857142,11.450254440307617,-0.08221358805894852,0.942383885383606,2.796457290649414,0.310520738363266,5.0
SOC_50,0.5003197879285713,10.859,9.110899285714286,3.6170785714285714,2.466319853857143,81.60107142857143,8.710952758789062,0.001162213971838355,1.6212972402572632,1.8432948589324951,1.1745365858078003,5.0
SOC_40,0.4003149307857143,10.859142857142858,9.134287142857145,3.5418285714285718,2.4284879505,76.99857142857142,7.820805549621582,-0.0577363558113575,0.8329944610595703,-0.6610296368598938,0.4924328625202179,5.0
SOC_30,0.3003066587142857,10.859500000000002,9.230436428571428,3.475007142857143,2.4286653740000004,70.52671428571428,1.4465618133544922,-0.1381998509168625,2.251610040664673,-2.7378792762756348,1.037500262260437,5.0
SOC_20,0.20029643214285714,10.8595,9.34707357142857,3.3908857142857136,2.418402318142857,56.86171428571429,-8.40981388092041,-0.10175444185733795,2.3569869995117188,-5.075825214385986,0.8416719436645508,5.0
SOC_15,0.15035384784615383,9.38676923076923,8.08943846153846,3.3397538461538456,2.301284468846154,43.08850769230769,-18.069263458251953,-0.17484723031520844,-0.16642974317073822,-7.105109691619873,0.03046461194753647,5.0
SOC_10,0.10022250269230769,10.925461538461539,9.786898461538462,3.2654307692307687,1.538563553153846,27.5813923076923,-34.104339599609375,-0.04678753763437271,0.8581389784812927,-6.798980236053467,-0.7906049489974976,5.0
SOC_5,0.050003461624999995,9.00225,11.310712500000001,3.2712250000000003,0.238095892875,19.6369625,-38.3553466796875,-0.12601236999034882,-0.6049666404724121,-7.5907368659973145,-2.311793327331543,5.0
SOC_2,0.01999759457142857,8.85957142857143,12.764857142857144,3.2671571428571426,0.0,15.552785714285715,-38.27473831176758,-0.04614779353141785,1.2625885009765625,-9.672433853149414,-3.237001419067383,5.0
